out_fit_name,start_time,start_date_stockholm,sport,sub_sport,accepted_by,avg_speed_mps,total_distance_m,total_elapsed_time_s,total_timer_time_s,manufacturer,product,serial_number,source_file,source_member,fit_sha1
2014-07-08_14-53-48_b507cc2c4e.fit,2014-07-08T14:53:48,2014-07-08,running,generic,sport_running,3.487304255748836,10222.6,3142.011,2931.376,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-13-01-079Z.GarminPush.939890773.fit.gz,b507cc2c4e7df01077d96e142fc24ad84420bbed
2014-06-25_11-09-14_b8eefbb69c.fit,2014-06-25T11:09:14,2014-06-25,running,generic,sport_running,3.363255180885246,10667.26,3334.25,3171.707,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-13-02-638Z.GarminPush.928042933.fit.gz,b8eefbb69cd2fa50fdfbfc1ea399c4d481e09701
2014-07-06_18-17-29_0f052d58bb.fit,2014-07-06T18:17:29,2014-07-06,running,generic,sport_running,3.3256067212293257,18011.2,5643.778,5415.914,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-13-02-898Z.GarminPush.938221282.fit.gz,0f052d58bb8e70b49b18a1c143902c2401885c88
2014-08-04_06-53-33_d0d2a64e8f.fit,2014-08-04T06:53:33,2014-08-04,running,generic,sport_running,3.1515286313450397,12299.08,4130.714,3902.576,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-13-03-675Z.GarminPush.966148541.fit.gz,d0d2a64e8f88fd75073656a1f857dd85f6758dfc
2014-07-04_07-51-19_7acf229ce5.fit,2014-07-04T07:51:19,2014-07-04,running,generic,sport_running,3.4047719687414406,10068.83,3176.399,2957.27,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-13-20-494Z.GarminPush.935800266.fit.gz,7acf229ce53241a9dc8d03c073869e0916b1de1f
2014-08-11_06-33-26_33cb743243.fit,2014-08-11T06:33:26,2014-08-11,running,generic,sport_running,3.425570058830953,5673.09,1914.447,1656.101,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-13-21-502Z.GarminPush.973798305.fit.gz,33cb743243670bd7a785b29696f30cc38ad95bb5
2014-06-24_12-48-00_2cd3268b10.fit,2014-06-24T12:48:00,2014-06-24,running,generic,sport_running,5.230170175944621,181.33,34.67,34.67,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-13-21-884Z.GarminPush.927196916.fit.gz,2cd3268b1086b6c11b2f80d9d4aeff66a3436522
2014-06-27_07-11-24_34a06b2b5f.fit,2014-06-27T07:11:24,2014-06-27,running,generic,sport_running,3.1652826591544057,8168.55,2766.915,2580.67,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-13-22-319Z.GarminPush.929552001.fit.gz,34a06b2b5fe9d60638b40144f68d9201c948ada1
2014-06-11_13-10-14_5330c3a92c.fit,2014-06-11T13:10:14,2014-06-11,running,generic,sport_running,2.7430002234653243,1497.53,563.942,545.946,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-13-22-496Z.GarminPush.915670151.fit.gz,5330c3a92cc4c776aaeb646429759eea0e67fed0
2014-07-10_19-14-14_f489b401e0.fit,2014-07-10T19:14:14,2014-07-10,running,generic,sport_running,3.284091456006814,9007.12,2798.95,2742.652,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-13-23-077Z.GarminPush.941828460.fit.gz,f489b401e0453e40caa9e7f8964cc04cdea8eb59
