source_file,source_member,reason,details
TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-12-57-178Z.GarminPush.955849702.fit.gz,not_running,sport=cycling; sub_sport=generic; dist_m=21749.01; t_s=3002.651; spd=7.243269364305076
TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-12-58-529Z.GarminPush.975222939.fit.gz,not_running,sport=cycling; sub_sport=generic; dist_m=61364.55; t_s=11126.942; spd=5.514951906822199
TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-13-01-617Z.GarminPush.975420139.fit.gz,not_running,sport=cycling; sub_sport=generic; dist_m=21944.05; t_s=3587.022; spd=6.117623477079316
TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-13-03-325Z.GarminPush.972614131.fit.gz,not_running,sport=cycling; sub_sport=generic; dist_m=34235.69; t_s=5431.138; spd=6.303594200699743
TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-13-22-233Z.GarminPush.973798377.fit.gz,not_running,sport=cycling; sub_sport=generic; dist_m=7836.92; t_s=1138.87; spd=6.8813121778605115
TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-13-24-800Z.GarminPush.973798192.fit.gz,not_running,sport=cycling; sub_sport=generic; dist_m=6547.74; t_s=1073.564; spd=6.099068150571367
TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-13-52-555Z.GarminPush.963898851.fit.gz,not_running,sport=cycling; sub_sport=generic; dist_m=15946.31; t_s=2791.415; spd=5.712626033749908
TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-02-481Z.GarminPush.968328822.fit.gz,not_running,sport=cycling; sub_sport=generic; dist_m=7046.25; t_s=1038.517; spd=6.784915413036089
TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-03-239Z.GarminPush.976391661.fit.gz,not_running,sport=cycling; sub_sport=generic; dist_m=5440.11; t_s=880.8; spd=6.17632833787466
TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-16-339Z.GarminPush.967261270.fit.gz,not_running,sport=cycling; sub_sport=generic; dist_m=27667.19; t_s=4301.632; spd=6.431789144213173
TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-32-072Z.GarminPush.953142791.fit.gz,not_running,sport=cycling; sub_sport=generic; dist_m=29790.19; t_s=5074.124; spd=5.871001575838509
TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-33-392Z.GarminPush.968328652.fit.gz,not_running,sport=cycling; sub_sport=generic; dist_m=6768.19; t_s=1092.396; spd=6.195729387511489
TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-34-768Z.GarminPush.976391695.fit.gz,not_running,sport=cycling; sub_sport=generic; dist_m=5418.0; t_s=809.981; spd=6.689045792432168
TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-35-111Z.GarminPush.976162409.fit.gz,not_running,sport=cycling; sub_sport=generic; dist_m=60843.19; t_s=9369.772; spd=6.493561422839317
TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-35-338Z.GarminPush.959939943.fit.gz,not_running,sport=cycling; sub_sport=generic; dist_m=15062.5; t_s=4811.235; spd=3.1306930549017045
