Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1765792541,2.118421053,0.815789474,0.026315789,0,0,3.7,0,7.625,0.100328947,482,136,6.37,6.2,0,0,0,0,0,0,52,28
1765792542,2.368421053,0.881578947,0.052631579,1.428,0,6.48,0,8.75,0.115131579,440,142,6.25,6.4,0,0,0,0,0,10.35831483,52,28
1765792543,2.881578947,0.934210526,0.052631579,2.669,0,10.52,0,9,0.118421053,354,156,6.25,6.6,0,0,0,0,0,6.088413506,53,28
1765792545,3.276315789,0.960526316,0.092105263,2.855,0,16.4,0,9.625,0.126644737,284,172,6,6.8,0,0,0,0,0,6.024519796,55,28
1765792546,3.592105263,0.960526316,0.092105263,3.228,0,19.88,0,10,0.131578947,280,172,6.12,6.6,0,0,0,0,0,5.434927401,56,28
1765792547,3.684210526,0.960526316,0.131578947,3.238,0,23.08,0,10,0.131578947,278,174,6,6.6,0,0,0,0,0,5.373695759,57,28
1765792548,3.644736842,0.973684211,0.118421053,3.238,0,26.36,0,10,0.131578947,270,172,6.12,6.4,0,0,0,0,0,5.418182784,58,27
1765792549,3.592105263,0.973684211,0.118421053,3.256,0,29.3,0,10,0.131578947,270,172,6.25,6.2,0,0,0,0,0,5.502680906,59,27
1765792550,3.565789474,0.986842105,0.118421053,3.219,0,32.72,0,10.125,0.133223684,266,174,6.37,6,0,0,0,0,0,5.738738739,60,27
1765792551,3.618421053,0.986842105,0.118421053,3.256,0,35.47,0,10.375,0.136513158,266,172,6.37,6,0,0,0,0,0,5.60833238,61,27
1765792552,3.736842105,0.986842105,0.131578947,3.144,0,39.05,0,10.375,0.136513158,262,172,6.62,6,0,0,0,0,0,6.036070536,62,27
1765792553,3.671052632,1,0.131578947,3.275,0,42.44,0,10.5,0.138157895,262,172,6.62,6,0,0,0,0,0,5.794615034,63,27
1765792554,3.539473684,1,0.131578947,3.294,0,45.26,0,10.875,0.143092105,260,172,6.75,6.2,0,0,0,0,0,5.874315751,64,27
1765792555,3.460526316,1,0.118421053,3.294,0,48.06,0,10.875,0.143092105,260,172,6.75,6.4,0,0,0,0,0,5.874315751,65,27
1765792556,3.394736842,1,0.105263158,3.21,0,51.28,0,11,0.144736842,260,172,6.75,6.4,0,0,0,0,0,6.028023612,67,27
