Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1765962729,1.776315789,0.934210526,0.026315789,1.558,0,1.56,0,9,0.118421053,0,116,7.87,7.2,0,0,0,0,0,9.765964311,105,25
1765962730,1.605263158,0.907894737,0.013157895,1.456,0,3.01,0,9.375,0.123355263,608,112,8.87,7.2,0,0,0,0,0,11.37179487,105,25
1765962731,1.5,0.815789474,0.013157895,1.474,0,4.49,0,8.125,0.106907895,610,114,8,7.2,0,0,0,0,0,10.31206899,105,25
1765962732,1.513157895,0.815789474,0.013157895,1.67,0,6.16,0,8.125,0.106907895,598,116,7.25,7.2,0,0,0,0,0,8.393243728,105,25
1765962733,1.671052632,0.802631579,0.013157895,1.81,0,7.97,0,8.875,0.116776316,520,124,6.37,7,0,0,0,0,0,7.273267033,105,25
1765962734,1.842105263,0.815789474,0.013157895,1.978,0,9.95,0,10.75,0.141447368,468,132,6.5,7,0,0,0,0,0,7.229532082,106,25
1765962735,2.039473684,0.815789474,0.039473684,2.398,0,12.34,0,10.75,0.141447368,394,142,6.5,7,0,0,0,0,0,6.415064545,106,25
1765962736,2.618421053,0.881578947,0.078947368,2.557,0,14.9,0,10.5,0.138157895,286,168,6.5,7,0,0,0,0,0,7.117749477,107,25
1765962737,2.855263158,0.947368421,0.078947368,2.715,0,17.62,0,10.375,0.136513158,280,170,6.5,7,0,0,0,0,0,6.783269327,109,25
1765962738,2.921052632,0.947368421,0.131578947,2.753,0,20.37,0,10.375,0.136513158,276,168,6.62,7.2,0,0,0,0,0,6.733047874,110,25
1765962739,3.039473684,1,0.171052632,2.809,0,23.18,0,10.375,0.136513158,276,170,6.5,7.2,0,0,0,0,0,6.556318778,112,24
1765962740,3.092105263,0.986842105,0.171052632,2.809,0,25.99,0,10.375,0.136513158,274,172,6.37,7.4,0,0,0,0,0,6.500796016,113,24
1765962741,3.092105263,0.986842105,0.184210526,2.855,0,28.84,0,10.375,0.136513158,274,172,6.25,7.6,0,0,0,0,0,6.275541454,115,24
1765962742,3.105263158,0.973684211,0.171052632,2.883,0,31.72,0,10.25,0.134868421,272,174,6.25,7.6,0,0,0,0,0,6.286840888,116,24
1765962743,3.105263158,0.973684211,0.171052632,2.948,0,34.67,0,10.25,0.134868421,270,174,6.12,7.6,0,0,0,0,0,6.020362992,117,24
1765962744,3.144736842,0.973684211,0.157894737,3.004,0,37.68,0,10.25,0.134868421,266,174,6.12,7.8,0,0,0,0,0,5.908134304,118,24
1765962745,3.144736842,0.973684211,0.131578947,3.014,0,40.69,0,10,0.131578947,268,174,6.12,7.8,0,0,0,0,0,5.888522193,119,24
1765962746,3.131578947,0.986842105,0.131578947,3.032,0,43.72,0,9.875,0.129934211,268,172,6.25,7.8,0,0,0,0,0,5.90921554,120,24
1765962747,3.118421053,0.986842105,0.105263158,3.023,0,46.75,0,9.875,0.129934211,272,172,6.25,7.8,0,0,0,0,0,5.926810996,121,24
