Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1766219496,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,121,17
1766219497,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0,0,0,0,0,121,17
1766219498,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0,0,0,0,0,121,18
1766219499,0,0,0,2.538,0,2.53,0,0,0,439,172,8.8,13.4,0,0,0,0,0,9.939571921,121,18
1766219500,2.526315789,0,0,3.098,0,5.62,0,0,0,372,176,7.9,13.2,0,0,0,0,0,7.48006893,122,18
1766219501,3.052631579,0.921052632,0,3.695,0,9.29,0,6,0.078947368,240,184,6,13.2,0,0,0,0,0,4.979707691,122,17
1766219502,3.25,0.921052632,0,3.966,0,13.25,0,6,0.078947368,218,190,6,13.4,0,0,0,0,0,4.790725156,123,18
1766219503,3.894736842,0.947368421,0,3.966,0,17.24,0,7.875,0.103618421,211,190,6.2,13.4,0,0,0,0,0,4.950415995,124,18
1766219504,4.289473684,0.947368421,0,4.227,0,21.68,0,7.875,0.103618421,206,192,6.1,13.6,0,0,0,0,0,4.6179236,125,18
1766219505,4.460526316,0.986842105,0,4.264,0,25.74,0,10.125,0.133223684,208,192,6.1,13.8,0,0,0,0,0,4.577861163,127,17
1766219506,4.276315789,1,0,4.152,0,29.9,0,10.625,0.139802632,214,192,5.9,13.8,0,0,0,0,0,4.547206166,128,17
1766219507,4.223684211,1,0,4.078,0,34.04,0,10.625,0.139802632,218,192,5.8,13.8,0,0,0,0,0,4.551232756,130,18
1766219508,4.065789474,1,0,4.078,0,38.17,0,11,0.144736842,218,192,5.8,13.6,0,0,0,0,0,4.551232756,131,18
1766219509,4.118421053,0.973684211,0,4.115,0,42.28,0,10.625,0.139802632,213,192,5.9,13.6,0,0,0,0,0,4.588083425,132,17
1766219510,4.210526316,0.973684211,0,4.255,0,46.8,0,10.125,0.133223684,211,192,6,13.6,0,0,0,0,0,4.512329942,133,18
1766219511,4.368421053,0.973684211,0,4.367,0,50.66,0,10.125,0.133223684,210,190,6.1,14,0,0,0,0,0,4.423334904,134,18
1766219512,4.434210526,0.986842105,0,4.367,0,55.03,0,10.125,0.133223684,211,190,6.3,14,0,0,0,0,0,4.568362278,135,17
1766219513,4.592105263,0.986842105,0,4.264,0,59.28,0,10.125,0.133223684,212,186,6.4,14.2,0,0,0,0,0,4.652921162,137,17
1766219514,4.736842105,1,0,4.18,0,63.58,0,10.125,0.133223684,217,186,6.5,14.4,0,0,0,0,0,4.820563783,138,17
1766219515,4.710526316,1,0,4.05,0,67.61,0,10.125,0.133223684,220,186,6.3,14.6,0,0,0,0,0,4.822228176,139,17
1766219516,4.657894737,1.013157895,0,3.984,0,71.59,0,10.375,0.136513158,224,186,6.3,15,0,0,0,0,0,4.902113356,140,17
1766219517,4.828947368,1.013157895,0,3.928,0,75.69,0,10.375,0.136513158,224,186,6.3,15.2,0,0,0,0,0,4.971983269,141,17
1766219518,4.815789474,1,0,3.91,0,79.68,0,10.125,0.133223684,223,184,6.5,15.4,0,0,0,0,0,5.098039216,142,17
1766219519,4.802631579,1,0,3.835,0,83.3,0,10.125,0.133223684,222,182,6.6,15.8,0,0,0,0,0,5.220321287,143,17
1766219520,4.842105263,1,0,3.835,0,87.01,0,10.25,0.134868421,226,182,6.6,16,0,0,0,0,0,5.220321287,143,17
1766219521,4.828947368,1.013157895,0,3.788,0,90.87,0,10.625,0.139802632,229,182,6.5,16.4,0,0,0,0,0,5.205038477,144,17
1766219522,4.855263158,1.013157895,0,3.62,0,94.56,0,10.625,0.139802632,231,182,6.4,16.6,0,0,0,0,0,5.362783955,145,17
1766219523,4.828947368,1.013157895,0,3.592,0,98.16,0,10.625,0.139802632,234,184,6.2,17,0,0,0,0,0,5.293263895,146,17
1766219524,4.986842105,1,0,3.732,0,101.78,0,10.875,0.143092105,228,184,6.3,17.4,0,0,0,0,0,5.176834078,146,17
1766219525,5.078947368,1,0,3.891,0,105.66,0,10.875,0.143092105,223,186,6.3,17.6,0,0,0,0,0,5.01928041,147,17
1766219526,5.315789474,0.986842105,0,4.031,0,109.78,0,10.25,0.134868421,218,184,6.6,17.8,0,0,0,0,0,5.021073292,148,17
1766219527,5.302631579,1,0,4.05,0,113.91,0,10,0.131578947,220,182,6.7,17.8,0,0,0,0,0,5.018125169,148,17
1766219528,5.171052632,1,0,3.947,0,117.87,0,10,0.131578947,223,180,6.8,18,0,0,0,0,0,5.168469297,150,17
1766219529,4.907894737,1.013157895,0,3.919,0,121.68,0,10.5,0.138157895,225,180,6.7,18.2,0,0,0,0,0,5.12887249,151,17
1766219530,4.684210526,1.013157895,0,3.919,0,125.6,0,10.625,0.139802632,223,182,6.7,18.2,0,0,0,0,0,5.18583879,152,17
1766219531,4.605263158,1.013157895,0,3.928,0,129.44,0,10.625,0.139802632,221,182,6.7,18.4,0,0,0,0,0,5.17394494,154,17
1766219532,4.605263158,1.026315789,0,3.938,0,133.55,0,10.25,0.134868421,221,182,6.8,18.4,0,0,0,0,0,5.237860488,156,17
1766219533,4.447368421,1.026315789,0,3.919,0,137.45,0,10.25,0.134868421,224,180,6.8,18.6,0,0,0,0,0,5.205422826,157,17
1766219534,4.407894737,1.013157895,0,3.882,0,141.34,0,10.625,0.139802632,225,180,6.8,18.6,0,0,0,0,0,5.255023184,159,17
1766219535,4.355263158,1.026315789,0,3.863,0,145.11,0,10.625,0.139802632,224,180,6.9,18.8,0,0,0,0,0,5.358515769,161,17
1766219536,4.394736842,1.026315789,0.013157895,3.826,0,149.10001,0,10.625,0.139802632,225,180,6.8,18.8,0,0,0,0,0,5.331953298,162,17
1766219537,4.381578947,1.026315789,0.013157895,3.826,0,153.07001,0,10.375,0.136513158,224,182,6.7,18.8,0,0,0,0,0,5.311895475,164,17
1766219538,4.407894737,1.026315789,0.013157895,3.826,0,156.53999,0,10.75,0.141447368,223,182,6.6,18.8,0,0,0,0,0,5.232613453,165,17
1766219539,4.473684211,1.026315789,0.039473684,3.872,0,160.38,0,10.75,0.141447368,219,184,6.6,19,0,0,0,0,0,5.227267327,167,17
1766219540,4.473684211,1.013157895,0.039473684,3.975,0,164.72,0,10.625,0.139802632,217,182,6.8,19,0,0,0,0,0,5.189096792,168,17
1766219541,4.394736842,1,0.039473684,3.994,0,168.62,0,10.625,0.139802632,217,182,6.9,19,0,0,0,0,0,5.240373661,169,17
1766219542,4.289473684,1,0.039473684,3.994,0,172.53,0,10.625,0.139802632,218,182,6.8,19,0,0,0,0,0,5.164426217,170,17
1766219543,4.276315789,1.013157895,0.026315789,3.956,0,176.47,0,10.875,0.143092105,219,184,6.6,19,0,0,0,0,0,5.11627907,170,17
1766219544,4.381578947,1.026315789,0.026315789,3.956,0,180.42,0,10.875,0.143092105,220,182,6.7,19.2,0,0,0,0,0,5.137327669,170,17
1766219545,4.355263158,1.026315789,0.026315789,3.975,0,184.37,0,10.875,0.143092105,219,184,6.6,19.2,0,0,0,0,0,5.09180682,169,17
1766219546,4.447368421,1.013157895,0.039473684,4.022,0,188.49001,0,10.625,0.139802632,219,182,6.7,19.2,0,0,0,0,0,5.0530571,170,17
1766219547,4.473684211,1.013157895,0.039473684,4.05,0,192.60001,0,10.5,0.138157895,217,184,6.5,19.2,0,0,0,0,0,4.921818801,171,17
1766219548,4.5,1.013157895,0.039473684,4.031,0,196.73,0,10.5,0.138157895,219,182,6.7,19.4,0,0,0,0,0,5.041763865,172,17
1766219549,4.592105263,1.013157895,0.039473684,4.012,0,200.36,0,10.5,0.138157895,221,184,6.6,19.4,0,0,0,0,0,5.044868757,173,17
1766219550,4.578947368,1.013157895,0.039473684,3.956,0,204.34,0,10.5,0.138157895,224,182,6.6,19.6,0,0,0,0,0,5.060651137,173,17
1766219551,4.618421053,1.026315789,0.052631579,3.919,0,208.49001,0,10.5,0.138157895,225,182,6.6,19.6,0,0,0,0,0,5.108438211,174,17
1766219552,4.578947368,1.013157895,0.052631579,3.788,0,212.27,0,10.375,0.136513158,229,180,6.8,19.8,0,0,0,0,0,5.385413449,175,17
1766219553,4.473684211,1.013157895,0.052631579,3.704,0,216.13,0,10.375,0.136513158,232,178,6.8,19.8,0,0,0,0,0,5.44636135,176,17
1766219554,4.315789474,1.013157895,0.052631579,3.564,0,219.31,0,10.375,0.136513158,236,178,6.7,20,0,0,0,0,0,5.577059142,176,17
1766219555,4.25,1.013157895,0.052631579,3.564,0,223.16,0,10.625,0.139802632,236,178,6.7,20,0,0,0,0,0,5.577059142,177,16
1766219556,4.25,1.013157895,0.052631579,3.546,0,226.7,0,10.625,0.139802632,236,178,6.6,20.2,0,0,0,0,0,5.52171876,178,16
1766219557,4.394736842,1.013157895,0.065789474,3.564,0,230.32001,0,10.625,0.139802632,235,180,6.6,20.4,0,0,0,0,0,5.555555556,178,16
1766219558,4.552631579,1,0.065789474,3.583,0,233.89999,0,10.625,0.139802632,235,180,6.6,20.4,0,0,0,0,0,5.526110874,179,16
1766219559,4.618421053,1,0.065789474,3.602,0,237.5,0,10.625,0.139802632,235,180,6.6,20.6,0,0,0,0,0,5.49693088,180,16
1766219560,4.697368421,1,0.092105263,3.602,0,241.08,0,10.5,0.138157895,233,180,6.6,20.8,0,0,0,0,0,5.49693088,180,17
1766219561,4.776315789,1,0.092105263,3.648,0,244.77,0,10.375,0.136513158,231,180,6.6,21,0,0,0,0,0,5.427631579,181,16
1766219562,4.605263158,0.986842105,0.118421053,3.648,0,248.14,0,10.375,0.136513158,229,184,6.3,21.2,0,0,0,0,0,5.296031339,181,16
1766219563,4.578947368,0.986842105,0.131578947,3.788,0,252.22,0,10.375,0.136513158,227,184,6.3,21.2,0,0,0,0,0,5.100306018,182,16
1766219564,4.657894737,0.986842105,0.131578947,3.928,0,255.78,0,10.625,0.139802632,221,184,6.4,21.4,0,0,0,0,0,4.996603871,182,16
1766219565,4.776315789,0.986842105,0.105263158,3.984,0,260.10999,0,10.625,0.139802632,220,184,6.6,21.4,0,0,0,0,0,5.080322985,182,16
1766219566,4.934210526,0.986842105,0.052631579,4.012,0,263.85999,0,10.25,0.134868421,217,182,6.8,21.4,0,0,0,0,0,5.141232686,182,16
1766219567,4.855263158,1,0.052631579,4.012,0,267.73999,0,10.375,0.136513158,218,182,6.7,21.4,0,0,0,0,0,5.065626323,182,16
1766219568,4.842105263,1,0.065789474,4.003,0,272.09,0,10.375,0.136513158,222,182,6.6,21.6,0,0,0,0,0,5.001250313,182,16
1766219569,4.921052632,1.013157895,0.092105263,3.984,0,276.03,0,10.75,0.141447368,223,184,6.5,21.6,0,0,0,0,0,5.003348395,182,16
1766219570,4.894736842,1.013157895,0.092105263,3.975,0,279.97,0,10.375,0.136513158,223,184,6.5,21.8,0,0,0,0,0,5.014658232,182,16
1766219571,4.855263158,1.013157895,0.144736842,4.022,0,284,0,10.375,0.136513158,222,184,6.6,21.8,0,0,0,0,0,5.032328901,182,16
1766219572,4.723684211,1,0.144736842,4.022,0,287.92999,0,10.125,0.133223684,219,182,6.7,21.8,0,0,0,0,0,5.0530571,182,16
1766219573,4.723684211,1,0.144736842,4.059,0,291.88,0,10.125,0.133223684,218,182,6.8,22,0,0,0,0,0,5.081718518,183,16
1766219574,4.723684211,1,0.144736842,4.106,0,295.89999,0,10.125,0.133223684,218,182,6.8,22,0,0,0,0,0,5.023529325,182,16
1766219575,4.578947368,1,0.144736842,4.106,0,300,0,10.125,0.133223684,218,182,6.7,22.2,0,0,0,0,0,4.949653894,182,16
1766219576,4.526315789,1,0.144736842,4.143,0,304.54999,0,10.125,0.133223684,217,184,6.6,22.2,0,0,0,0,0,4.885342492,182,16
1766219577,4.486842105,1.026315789,0.092105263,4.236,0,308.60001,0,10.375,0.136513158,216,186,6.5,22.2,0,0,0,0,0,4.756851696,182,16
1766219578,4.434210526,1.013157895,0.092105263,4.311,0,312.89999,0,10.25,0.134868421,215,186,6.5,22.2,0,0,0,0,0,4.674073275,182,16
1766219579,4.381578947,1.013157895,0.078947368,4.367,0,317.16,0,10.25,0.134868421,213,186,6.6,22.2,0,0,0,0,0,4.685137466,183,16
1766219580,4.434210526,1.013157895,0.052631579,4.413,0,321.57001,0,9.75,0.128289474,211,186,6.7,22.2,0,0,0,0,0,4.7065435,182,16
1766219581,4.434210526,1.013157895,0.052631579,4.46,0,326.01001,0,9.625,0.126644737,211,186,6.6,22,0,0,0,0,0,4.587442918,182,16
1766219582,4.434210526,1.013157895,0.052631579,4.432,0,330.39001,0,9.625,0.126644737,215,186,6.5,22,0,0,0,0,0,4.546471938,182,16
1766219583,4.473684211,1.026315789,0.039473684,4.404,0,334.79001,0,9.875,0.129934211,213,186,6.5,22,0,0,0,0,0,4.575370429,182,16
1766219584,4.421052632,1.026315789,0.039473684,4.395,0,339.12,0,9.75,0.128289474,213,186,6.6,22,0,0,0,0,0,4.655296458,182,16
1766219585,4.407894737,1.026315789,0.039473684,4.357,0,343.48001,0,9.75,0.128289474,212,186,6.5,21.8,0,0,0,0,0,4.624754532,182,16
1766219586,4.394736842,1.013157895,0.039473684,4.385,0,348.29001,0,9.75,0.128289474,211,186,6.6,21.6,0,0,0,0,0,4.665893731,183,16
1766219587,4.368421053,1.013157895,0.052631579,4.404,0,352.70001,0,9.75,0.128289474,212,186,6.5,21.6,0,0,0,0,0,4.575370429,183,16
1766219588,4.407894737,1.013157895,0.065789474,4.357,0,357.06,0,9.75,0.128289474,216,186,6.4,21.4,0,0,0,0,0,4.553604463,183,16
1766219589,4.421052632,1.013157895,0.065789474,4.339,0,361.29001,0,9.75,0.128289474,213,186,6.5,21.4,0,0,0,0,0,4.64391861,183,16
1766219590,4.486842105,1.013157895,0.105263158,4.339,0,365.53,0,9.75,0.128289474,214,186,6.5,21.4,0,0,0,0,0,4.64391861,183,16
1766219591,4.486842105,1.013157895,0.118421053,4.301,0,369.82001,0,9.625,0.126644737,215,186,6.5,21.4,0,0,0,0,0,4.684954808,184,16
1766219592,4.552631579,1.013157895,0.118421053,4.301,0,374.13,0,9.875,0.129934211,217,186,6.4,21.4,0,0,0,0,0,4.61287858,184,16
1766219593,4.565789474,1.013157895,0.131578947,4.255,0,378.29999,0,9.875,0.129934211,216,186,6.4,21.2,0,0,0,0,0,4.662751898,184,16
1766219594,4.618421053,1.013157895,0.131578947,4.208,0,382.42999,0,9.875,0.129934211,213,186,6.5,21.2,0,0,0,0,0,4.788495823,184,16
1766219595,4.671052632,1,0.131578947,4.18,0,386.67001,0,9.75,0.128289474,215,186,6.4,21.2,0,0,0,0,0,4.746401264,184,16
1766219596,4.723684211,1,0.197368421,4.189,0,390.82001,0,9.75,0.128289474,216,186,6.5,21.2,0,0,0,0,0,4.810218384,184,16
1766219597,4.723684211,1,0.210526316,4.133,0,394.95999,0,10.5,0.138157895,217,184,6.6,21.4,0,0,0,0,0,4.897159647,184,16
1766219598,4.671052632,1,0.210526316,4.068,0,399.01999,0,10.5,0.138157895,216,184,6.6,21.4,0,0,0,0,0,4.975424419,184,16
1766219599,4.552631579,1,0.171052632,4.087,0,403.09,0,10.5,0.138157895,216,186,6.5,21.2,0,0,0,0,0,4.930255842,185,16
1766219600,4.473684211,1,0.118421053,4.115,0,407.17001,0,10.5,0.138157895,217,186,6.5,21.2,0,0,0,0,0,4.89671694,184,16
1766219601,4.618421053,1,0.118421053,4.143,0,411.76999,0,10.625,0.139802632,217,186,6.5,21.2,0,0,0,0,0,4.863631262,184,16
1766219602,4.592105263,1,0.092105263,4.143,0,415.91,0,10.625,0.139802632,218,186,6.4,21.2,0,0,0,0,0,4.788806166,185,16
1766219603,4.671052632,1,0.171052632,4.152,0,419.60001,0,10.25,0.134868421,219,186,6.4,21.2,0,0,0,0,0,4.778437302,184,16
1766219604,4.684210526,1,0.171052632,4.133,0,424,0,10.25,0.134868421,218,184,6.5,21.4,0,0,0,0,0,4.822960259,184,16
1766219605,4.631578947,1,0.276315789,4.096,0,428.07999,0,10.25,0.134868421,219,184,6.6,21.4,0,0,0,0,0,4.941414293,184,15
1766219606,4.605263158,1,0.276315789,4.012,0,432.10001,0,9.875,0.129934211,219,184,6.6,21.4,0,0,0,0,0,5.044868757,184,15
1766219607,4.592105263,1,0.276315789,3.966,0,436.04001,0,10.25,0.134868421,223,180,6.8,21.4,0,0,0,0,0,5.143721634,184,15
1766219608,4.552631579,1,0.25,3.891,0,439.92999,0,10.25,0.134868421,227,180,6.8,21.6,0,0,0,0,0,5.242868157,184,15
1766219609,4.605263158,1.013157895,0.25,3.854,0,443.85999,0,10.5,0.138157895,227,180,6.9,21.6,0,0,0,0,0,5.371029136,184,15
1766219610,4.618421053,1.013157895,0.25,3.826,0,447.60001,0,10.25,0.134868421,225,182,6.7,21.8,0,0,0,0,0,5.311895475,184,15
1766219611,4.684210526,1.013157895,0.263157895,3.872,0,451.63,0,10.25,0.134868421,224,182,6.7,21.8,0,0,0,0,0,5.248809225,184,15
1766219612,4.75,1.013157895,0.263157895,3.928,0,455.28,0,10.5,0.138157895,225,182,6.6,22,0,0,0,0,0,5.096721881,184,15
1766219613,4.763157895,1.013157895,0.263157895,3.966,0,459.23999,0,10.5,0.138157895,227,182,6.6,22,0,0,0,0,0,5.047916969,184,15
1766219614,4.815789474,1.013157895,0.263157895,3.966,0,463.20001,0,10.5,0.138157895,226,182,6.6,22.2,0,0,0,0,0,5.047916969,184,15
1766219615,4.828947368,1,0.25,3.966,0,467.48001,0,10.125,0.133223684,227,182,6.6,22.4,0,0,0,0,0,5.047916969,184,15
1766219616,4.881578947,1,0.25,3.891,0,471.20001,0,10.125,0.133223684,225,182,6.7,22.6,0,0,0,0,0,5.223153381,184,15
