Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1766217875,0,0,0,0,0,0,0,0,0,0,84,0,12.6,0,0,0,0,0,0,116,25
1766217876,0,0,0,1.064,0,1.06,0,0,0,0,90,0,12.6,0,0,0,0,0,0,116,25
1766217877,1.105263158,0,0,1.316,0,2.38,0,0,0,776,100,31.8,12.6,0,0,0,0,0,40.27355623,117,25
1766217878,1.368421053,0,0,1.624,0,4,0,0,0,638,120,15,12.6,0,0,0,0,0,18.4729064,117,25
1766217879,2.052631579,0.723684211,0,1.978,0,5.98,0,0,0,549,146,13.2,12.6,0,0,0,0,0,16.2385592,117,25
1766217880,2.473684211,0.723684211,0,2.398,0,8.38,0,0,0,264,170,6.8,12.6,0,0,0,0,0,8.034501093,117,25
1766217881,2.973684211,0.828947368,0,2.902,0,11.28,0,7.125,0.09375,261,170,6.9,12.6,0,0,0,0,0,6.736702335,116,25
1766217882,3.052631579,0.973684211,0,2.93,0,14.21,0,8.625,0.113486842,262,170,6.9,12.6,0,0,0,0,0,6.672339767,117,25
1766217883,3.065789474,0.973684211,0,2.939,0,17.15,0,8.625,0.113486842,263,172,6.6,12.8,0,0,0,0,0,6.43757986,118,25
1766217884,3.039473684,1,0,2.846,0,20,0,10.875,0.143092105,267,170,6.7,13,0,0,0,0,0,6.670184276,119,25
1766217885,3.026315789,1,0,2.753,0,22.75,0,10.625,0.139802632,274,170,6.5,13.2,0,0,0,0,0,6.689651624,120,25
1766217886,3.013157895,1,0,2.706,0,25.46,0,10.625,0.139802632,272,174,6.2,13.2,0,0,0,0,0,6.644518272,120,25
1766217887,3.026315789,1,0,2.669,0,28.12,0,10.875,0.143092105,277,172,6.1,13.4,0,0,0,0,0,6.551742656,121,25
1766217888,3.105263158,0.960526316,0,2.893,0,31.02,0,11.5,0.151315789,273,174,6.2,13.4,0,0,0,0,0,6.214978097,122,25
1766217889,3.421052632,0.960526316,0,2.958,0,33.97,0,11.5,0.151315789,267,174,6.3,13.4,0,0,0,0,0,6.176470588,122,25
1766217890,3.5,0.960526316,0,3.051,0,37.02,0,10.5,0.138157895,259,170,7,13.4,0,0,0,0,0,6.500622202,123,25
1766217891,3.657894737,0.973684211,0,3.042,0,40.07,0,10.375,0.136513158,259,170,7,13.4,0,0,0,0,0,6.519815582,124,25
1766217892,3.578947368,0.973684211,0,3.051,0,43.12,0,10.375,0.136513158,259,170,7,13.4,0,0,0,0,0,6.500622202,125,25
1766217893,3.526315789,1.013157895,0,3.116,0,46.23,0,10.5,0.138157895,257,172,6.8,13.4,0,0,0,0,0,6.255864873,126,25
1766217894,3.434210526,1.013157895,0,3.154,0,49.39,0,10.5,0.138157895,255,172,6.8,13.4,0,0,0,0,0,6.18052589,127,25
1766217895,3.407894737,1.013157895,0,3.172,0,52.56,0,10.625,0.139802632,254,172,6.9,13.6,0,0,0,0,0,6.235822541,128,25
1766217896,3.368421053,1.013157895,0,3.163,0,55.72,0,10.375,0.136513158,257,172,6.8,13.6,0,0,0,0,0,6.162937183,129,25
1766217897,3.355263158,1.013157895,0,3.163,0,58.89,0,10.375,0.136513158,257,170,7,13.6,0,0,0,0,0,6.270434899,130,25
1766217898,3.368421053,1.026315789,0,3.107,0,61.99,0,10.5,0.138157895,257,170,7.1,13.6,0,0,0,0,0,6.474616767,131,25
1766217899,3.342105263,1.026315789,0,3.051,0,65.04,0,10.5,0.138157895,260,168,7.2,13.6,0,0,0,0,0,6.607686942,132,25
1766217900,3.315789474,1.026315789,0,3.042,0,68.09,0,10.5,0.138157895,262,168,7.2,13.4,0,0,0,0,0,6.627210221,133,25
1766217901,3.289473684,1.026315789,0.026315789,3.014,0,71.1,0,10.625,0.139802632,265,168,7.2,13.4,0,0,0,0,0,6.68877679,134,25
1766217902,3.263157895,1.026315789,0.026315789,2.967,0,74.07,0,10.625,0.139802632,265,168,7,13.4,0,0,0,0,0,6.606017138,134,25
1766217903,3.276315789,1.026315789,0.039473684,2.948,0,77.02,0,10.625,0.139802632,265,168,7,13.4,0,0,0,0,0,6.648557263,135,25
1766217904,3.315789474,1.026315789,0.052631579,2.948,0,79.96,0,10.375,0.136513158,262,172,6.7,13.4,0,0,0,0,0,6.515164775,135,25
1766217905,3.355263158,1.013157895,0.052631579,2.958,0,82.92,0,10.5,0.138157895,261,174,6.5,13.4,0,0,0,0,0,6.37254902,135,25
1766217906,3.355263158,1.013157895,0.065789474,2.986,0,85.91,0,10.5,0.138157895,263,174,6.4,13.4,0,0,0,0,0,6.215643999,136,25
1766217907,3.486842105,1,0.065789474,2.939,0,88.85,0,10.75,0.141447368,264,174,6.4,13.6,0,0,0,0,0,6.315062411,136,25
1766217908,3.513157895,0.986842105,0.065789474,2.921,0,91.77,0,10.625,0.139802632,267,172,6.5,13.6,0,0,0,0,0,6.379115756,136,25
1766217909,3.513157895,0.986842105,0.065789474,2.846,0,94.62,0,10.625,0.139802632,266,172,6.6,13.6,0,0,0,0,0,6.647931587,135,25
