Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature,,,,,
1766567070,1.289473684,0.697368421,0,1.185,0,1.18,0,0,0,0,106,0,207.60001,0,0,0,0,0,0,68,27,,,2,1.044624207,1.907338445
1766567071,1.263157895,0.697368421,0,1.25,0,2.43,0,0,0,593,120,10.5,207.60001,0,0,0,0,0,16.8,68,27,,,3,,
1766567072,1.421052632,0.710526316,0,1.362,0,3.8,0,0,0,527,130,9,207.39999,0,0,0,0,0,14.3170755,68,27,,,4,,
1766567073,1.618421053,0.75,0,1.885,0,5.68,0,3.875,0.050986842,451,142,8.4,207.39999,0,0,0,0,0,10.54640418,68,27,,,5,,
1766567074,2.421052632,0.815789474,0,2.193,0,7.87,0,7.875,0.103618421,300,164,6.5,207.39999,0,0,0,0,0,8.101505634,69,27,,,6,,
1766567075,2.421052632,0.815789474,0,2.435,0,10.31,0,7.875,0.103618421,270,170,6.6,207.39999,0,0,0,0,0,7.679687227,69,27,,,7,,
1766567076,2.657894737,0.934210526,0,2.725,0,13.03,0,11,0.144736842,259,172,6.7,207.39999,0,0,0,0,0,7.048328389,69,27,,,8,,
1766567077,2.723684211,0.934210526,0,2.809,0,15.84,0,11,0.144736842,257,174,6.6,207.39999,0,0,0,0,0,6.813817596,69,27,,,9,,
1766567078,2.868421053,0.934210526,0,2.855,0,18.7,0,11,0.144736842,256,174,6.5,207.39999,0,0,0,0,0,6.60247034,69,27,,,10,,
1766567079,2.907894737,0.986842105,0,2.874,0,21.57,0,11.875,0.15625,254,174,6.5,207.39999,0,0,0,0,0,6.55883273,70,27,,,11,,
1766567080,2.907894737,0.986842105,0,2.855,0,24.43,0,11.875,0.15625,256,174,6.7,207.39999,0,0,0,0,0,6.805623273,70,27,,,12,,
1766567081,2.907894737,0.986842105,0,2.771,0,27.2,0,11.875,0.15625,257,172,6.8,207.39999,0,0,0,0,0,7.034749594,71,27,,,13,,
1766567082,2.907894737,0.986842105,0,2.725,0,29.92,0,11.875,0.15625,257,172,6.9,207.60001,0,0,0,0,0,7.258726251,72,27,,,14,,
1766567083,2.907894737,0.986842105,0,2.678,0,32.6,0,11.875,0.15625,259,168,7.4,207.60001,0,0,0,0,0,7.737105695,73,27,,,15,,
1766567084,2.960526316,0.986842105,0,2.603,0,35.2,0,11.875,0.15625,259,168,7.4,207.8,0,0,0,0,0,7.960070565,75,27,,,16,,
1766567085,2.973684211,1,0,2.557,0,37.76,0,12,0.157894737,262,166,7.4,207.8,0,0,0,0,0,8.006751639,76,27,,,17,,
1766567086,2.881578947,1.013157895,0,2.538,0,40.3,0,12.5,0.164473684,265,168,7.2,207.8,0,0,0,0,0,7.943249892,79,27,,,18,,
1766567087,2.894736842,1.013157895,0,2.51,0,42.81,0,12.5,0.164473684,271,166,7,207.8,0,0,0,0,0,7.715794231,81,27,,,19,,
1766567088,2.815789474,1,0.013157895,2.482,0,45.29,0,13,0.171052632,282,166,6.9,207.60001,0,0,0,0,0,7.691364493,82,27,,,20,,
1766567089,2.710526316,0.960526316,0.013157895,2.547,0,47.84,0,12.375,0.162828947,282,166,6.8,207.39999,0,0,0,0,0,7.386487074,85,27,,,21,,
1766567090,2.684210526,0.960526316,0.039473684,2.753,0,50.59,0,12.375,0.162828947,282,168,6.7,207.39999,0,0,0,0,0,6.814414011,86,27,,,22,,
1766567091,2.828947368,0.986842105,0.039473684,2.893,0,53.48,0,11,0.144736842,272,172,6.3,207.2,0,0,0,0,0,6.242630228,87,27,,,23,,
1766567092,2.907894737,1,0.039473684,3.088,0,56.57,0,10.125,0.133223684,266,176,6.1,207.2,0,0,0,0,0,5.794458218,87,27,,,24,,
1766567093,3,1,0.131578947,3.163,0,59.73,0,10.125,0.133223684,259,176,6.2,207,0,0,0,0,0,5.749791338,88,26,,,25,,
1766567094,3.118421053,1,0.131578947,3.154,0,62.89,0,9.75,0.128289474,256,174,6.6,207,0,0,0,0,0,6.0684633,89,26,,,26,,
1766567095,3.144736842,0.986842105,0.131578947,3.079,0,65.97,0,10,0.131578947,256,172,6.7,206.8,0,0,0,0,0,6.237954696,91,27,,,27,,
1766567096,3.171052632,0.986842105,0.197368421,2.995,0,68.96,0,10,0.131578947,256,172,6.9,206.8,0,0,0,0,0,6.604324397,92,26,,,28,,
1766567097,3.184210526,1,0.184210526,2.93,0,71.89,0,10.5,0.138157895,262,170,7,206.8,0,0,0,0,0,6.769040343,94,26,,,29,,
1766567098,3.144736842,1.013157895,0.184210526,2.837,0,74.73,0,11.125,0.146381579,264,170,6.8,206.8,0,0,0,0,0,6.791239301,95,26,,,30,,
1766567099,3.144736842,1.013157895,0.144736842,2.827,0,77.56,0,11.125,0.146381579,262,172,6.7,207,0,0,0,0,0,6.794029366,96,26,,2.61,31,,
1766567100,3.144736842,1.013157895,0.118421053,2.874,0,80.43,0,11.125,0.146381579,261,172,6.6,207,0,0,0,0,0,6.583147143,97,26,,2.63,32,,
1766567101,3.171052632,1,0.118421053,2.902,0,83.33,0,11.125,0.146381579,259,174,6.5,207,0,0,0,0,0,6.495518093,98,26,,2.66,33,,
1766567102,3.236842105,1,0.105263158,2.883,0,86.21,0,11.125,0.146381579,260,174,6.5,207,0,0,0,0,0,6.538314523,99,26,,2.68,34,,
1766567103,3.25,0.986842105,0.105263158,2.855,0,89.07,0,11.125,0.146381579,261,172,6.7,207.2,0,0,0,0,0,6.727380438,100,26,,2.70,35,,
1766567104,3.25,0.986842105,0.105263158,2.837,0,91.91,0,11.125,0.146381579,261,172,6.7,207.2,0,0,0,0,0,6.770070227,101,26,,2.69,36,,
1766567105,3.223684211,0.986842105,0.105263158,2.827,0,94.73,0,11.125,0.146381579,260,172,6.8,207.2,0,0,0,0,0,6.89543279,102,26,,2.68,37,,
1766567106,3.210526316,1,0.105263158,2.846,0,97.58,0,11.375,0.149671053,260,172,6.8,207.2,0,0,0,0,0,6.849384059,103,26,,2.66,38,,
1766567107,3.210526316,1,0.105263158,2.846,0,100.42,0,11.5,0.151315789,263,170,6.8,207.2,0,0,0,0,0,6.769739265,104,26,,2.64,39,,
1766567108,3.223684211,1,0.105263158,2.837,0,103.26,0,11.5,0.151315789,264,170,6.7,207.2,0,0,0,0,0,6.691368135,105,26,,2.61,40,,
1766567109,3.157894737,1,0.118421053,2.837,0,106.1,0,11.375,0.149671053,264,172,6.6,207.2,0,0,0,0,0,6.669024403,106,26,,2.58,41,,
1766567110,3.171052632,1,0.118421053,2.827,0,108.93,0,11.375,0.149671053,261,174,6.4,207.2,0,0,0,0,0,6.565247274,107,26,,2.56,42,,
1766567111,3.197368421,1,0.118421053,2.948,0,111.87,0,11.25,0.148026316,258,176,6.4,207.2,0,0,0,0,0,6.368159204,108,26,,2.53,43,,
1766567112,3.223684211,0.986842105,0.118421053,2.986,0,114.86,0,10.875,0.143092105,256,176,6.5,207.2,0,0,0,0,0,6.385382386,109,26,,2.51,44,,
1766567113,3.276315789,0.986842105,0.144736842,3.014,0,117.87,0,10.875,0.143092105,254,174,6.6,207.2,0,0,0,0,0,6.35036707,109,25,,2.48,45,,
1766567114,3.276315789,0.973684211,0.157894737,3.032,0,120.91,0,11.125,0.146381579,255,174,6.7,207.2,0,0,0,0,0,6.408294437,110,26,,2.46,46,,
1766567115,3.302631579,0.986842105,0.157894737,3.042,0,123.95,0,11.125,0.146381579,257,174,6.7,207.2,0,0,0,0,0,6.387217938,111,25,,2.44,47,,
1766567116,3.302631579,0.986842105,0.157894737,3.042,0,126.99,0,11.125,0.146381579,258,174,6.6,207,0,0,0,0,0,6.291886327,112,25,,2.42,48,,
1766567117,3.315789474,1,0.157894737,3.06,0,130.05,0,10.875,0.143092105,256,176,6.5,207,0,0,0,0,0,6.230947679,113,25,,2.41,49,,
1766567118,3.315789474,1,0.157894737,3.07,0,133.12,0,10.625,0.139802632,256,176,6.5,207,0,0,0,0,0,6.210646003,113,25,,2.40,50,,
1766567119,3.302631579,1,0.144736842,3.07,0,136.19,0,10.625,0.139802632,254,176,6.4,207,0,0,0,0,0,6.115097603,114,25,,2.39,51,,
1766567120,3.302631579,0.986842105,0.131578947,3.088,0,139.28,0,10.75,0.141447368,253,176,6.5,207,0,0,0,0,0,6.174422691,114,25,,2.38,52,,
1766567121,3.315789474,0.973684211,0.131578947,3.126,0,142.39999,0,10.75,0.141447368,254,176,6.5,206.8,0,0,0,0,0,6.099391938,114,25,,2.37,53,,
1766567122,3.355263158,0.973684211,0.144736842,3.154,0,145.56,0,10.75,0.141447368,253,176,6.5,206.8,0,0,0,0,0,6.045218232,115,25,,2.36,54,,
1766567123,3.355263158,0.973684211,0.157894737,3.182,0,148.74001,0,10.75,0.141447368,252,174,6.6,206.8,0,0,0,0,0,6.015092414,116,25,,2.35,55,,
1766567124,3.342105263,1,0.157894737,3.135,0,151.87,0,10.5,0.138157895,252,174,6.7,206.60001,0,0,0,0,0,6.197792846,116,25,,2.34,56,,
1766567125,3.302631579,1,0.144736842,3.107,0,154.98,0,10.5,0.138157895,254,172,6.8,206.60001,0,0,0,0,0,6.273988781,117,25,,2.32,57,,
1766567126,3.236842105,1,0.144736842,3.014,0,158,0,10.625,0.139802632,258,172,6.8,206.60001,0,0,0,0,0,6.467567053,117,25,,2.30,58,,
1766567127,3.210526316,1,0.131578947,2.976,0,160.97,0,10.625,0.139802632,262,172,6.6,206.60001,0,0,0,0,0,6.357524033,117,25,,2.29,59,,
1766567128,3.157894737,1,0.144736842,2.976,0,163.95,0,11,0.144736842,261,174,6.4,206.39999,0,0,0,0,0,6.236540279,118,25,,2.27,60,,
1766567129,3.144736842,1,0.144736842,2.967,0,166.92,0,10.625,0.139802632,260,176,6.3,206.39999,0,0,0,0,0,6.228496856,118,25,,2.26,61,,
1766567130,3.171052632,1,0.157894737,3.051,0,169.97,0,10.625,0.139802632,253,176,6.4,206.39999,0,0,0,0,0,6.153195335,118,25,,2.24,62,,
1766567131,3.25,0.986842105,0.184210526,3.126,0,173.09,0,10.75,0.141447368,251,176,6.4,206.39999,0,0,0,0,0,6.005555139,118,25,,2.23,63,,
1766567132,3.302631579,0.973684211,0.184210526,3.256,0,176.35001,0,10.875,0.143092105,245,176,6.7,206.2,0,0,0,0,0,6.036036036,119,25,,2.22,64,,
1766567133,3.381578947,0.973684211,0.184210526,3.303,0,179.64999,0,10.875,0.143092105,245,176,6.7,206.2,0,0,0,0,0,5.950160743,119,25,,2.21,65,,
1766567134,3.421052632,0.973684211,0.197368421,3.34,0,182.99001,0,10.625,0.139802632,247,176,6.7,206,0,0,0,0,0,5.884212745,120,24,,2.20,66,,
1766567135,3.473684211,1,0.197368421,3.322,0,186.31,0,10.625,0.139802632,248,176,6.5,206,0,0,0,0,0,5.739514349,121,25,,2.19,67,,
1766567136,3.486842105,1,0.197368421,3.322,0,189.64,0,10.625,0.139802632,249,178,6.4,206,0,0,0,0,0,5.715408384,122,25,,2.19,68,,
1766567137,3.526315789,1.013157895,0.197368421,3.322,0,192.96001,0,10.375,0.136513158,244,178,6.5,206,0,0,0,0,0,5.80471164,123,25,,2.18,69,,
1766567138,3.513157895,1,0.197368421,3.275,0,196.23,0,10.125,0.133223684,244,178,6.6,206,0,0,0,0,0,5.97863995,123,25,,2.18,70,,
1766567139,3.5,1,0.171052632,3.238,0,199.47,0,10.125,0.133223684,244,178,6.5,206,0,0,0,0,0,5.955325894,124,24,,2.17,71,,
