Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1766822657,1.171052632,0.710526316,0,1.073,0,1.07,0,0,0,0,112,0,12.6,0,0,0,0,0,0,112,23
1766822658,1.25,0.710526316,0,1.288,0,2.36,0,0,0,569,126,9.4,12.6,0,0,0,0,0,15.32617025,112,23
1766822659,1.605263158,0.710526316,0,1.512,0,3.87,0,0,0,495,136,8.3,12.8,0,0,0,0,0,12.44265883,112,23
1766822660,1.894736842,0.75,0,1.512,0,5.38,0,4,0.052631579,428,150,7.7,12.8,0,0,0,0,0,12.73148148,113,22
1766822661,2.644736842,0.75,0,2.006,0,7.39,0,4,0.052631579,285,172,6,12.8,0,0,0,0,0,8.574245824,113,22
1766822662,2.815789474,0.842105263,0,2.538,0,9.93,0,8.375,0.110197368,273,172,6.3,13,0,0,0,0,0,7.115829898,112,22
1766822663,2.947368421,0.934210526,0,2.585,0,12.51,0,9.75,0.128289474,265,172,6.4,13.2,0,0,0,0,0,7.097389491,112,22
1766822664,3.105263158,0.934210526,0.026315789,2.622,0,15.14,0,9.75,0.128289474,262,172,6.5,13.4,0,0,0,0,0,7.106543487,112,22
1766822665,3.276315789,0.960526316,0.065789474,2.697,0,17.83,0,11.875,0.15625,260,176,6.3,13.6,0,0,0,0,0,6.852071392,113,22
1766822666,3.447368421,0.960526316,0.065789474,2.771,0,20.6,0,12.125,0.159539474,258,176,6.3,13.8,0,0,0,0,0,6.669066119,115,22
1766822667,3.578947368,0.960526316,0.078947368,2.883,0,23.49,0,12.125,0.159539474,256,176,6.3,14,0,0,0,0,0,6.409995523,116,22
1766822668,3.723684211,0.960526316,0.065789474,2.93,0,26.42,0,11.75,0.154605263,253,176,6.4,13.8,0,0,0,0,0,6.407304327,117,22
1766822669,3.842105263,0.960526316,0.065789474,2.874,0,29.29,0,11.625,0.152960526,260,176,6.3,13.8,0,0,0,0,0,6.430080529,119,22
1766822670,3.697368421,0.960526316,0.052631579,2.799,0,32.09,0,11.625,0.152960526,265,176,6.2,13.8,0,0,0,0,0,6.497589604,120,22
1766822671,3.578947368,0.973684211,0.078947368,2.613,0,34.7,0,11.625,0.152960526,270,174,6.1,13.8,0,0,0,0,0,6.770029855,121,22
1766822672,3.447368421,0.960526316,0.078947368,2.557,0,37.26,0,11.75,0.154605263,279,172,6.1,14,0,0,0,0,0,6.838718357,122,22
1766822673,3.157894737,0.960526316,0.105263158,2.641,0,39.9,0,11.75,0.154605263,276,172,6.2,14,0,0,0,0,0,6.72976728,123,22
1766822674,3.118421053,0.960526316,0.131578947,2.734,0,42.63,0,11.75,0.154605263,263,174,6.3,14,0,0,0,0,0,6.682506683,124,22
1766822675,3.171052632,0.960526316,0.131578947,2.837,0,45.47,0,11.125,0.146381579,263,174,6.3,14,0,0,0,0,0,6.439874065,124,22
1766822676,3.197368421,0.960526316,0.118421053,2.967,0,48.44,0,11.125,0.146381579,250,176,6.4,14,0,0,0,0,0,6.327361886,125,22
1766822677,3.223684211,0.960526316,0.131578947,3.004,0,51.44,0,11.125,0.146381579,245,176,6.7,14,0,0,0,0,0,6.542393735,125,22
1766822678,3.236842105,0.960526316,0.131578947,3.004,0,54.45,0,11.75,0.154605263,247,176,6.7,14,0,0,0,0,0,6.542393735,126,22
1766822679,3.342105263,0.960526316,0.144736842,3.032,0,57.48,0,11.75,0.154605263,247,178,6.4,14,0,0,0,0,0,6.262108374,127,21
1766822680,3.447368421,0.973684211,0.144736842,3.023,0,60.5,0,11.875,0.15625,249,178,6.3,14,0,0,0,0,0,6.182592567,128,21
1766822681,3.539473684,0.973684211,0.144736842,3.06,0,63.56,0,11.75,0.154605263,248,178,6.3,14.2,0,0,0,0,0,6.107847129,129,21
