Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1764842898,1.394736842,0.710526316,0,1.838,0,2.57,0,0,0,622,120,5.75,6.8,0,0,0,0,0,6.256800871,72,28
1764842899,1.486842105,0.75,0,1.344,0,3.69,0,0,0,520,132,5.87,6.8,0,0,0,0,0,9.608616654,72,28
1764842900,1.763157895,0.75,0.013157895,1.558,0,4.75,0,0,0,464,138,6,6.8,0,0,0,0,0,8.857526683,72,27
1764842901,1.960526316,0.815789474,0.026315789,1.838,0,8.32,0,11.125,0.146381579,414,144,6.25,6.6,0,0,0,0,0,8.161080135,71,28
1764842902,2.184210526,0.868421053,0.026315789,2.025,0,11.58,0,11,0.144736842,322,160,6.25,6.6,0,0,0,0,0,8.230398483,72,27
1764842903,2.592105263,0.868421053,0.039473684,3.088,0,15.08,0,11,0.144736842,274,170,6.25,6.8,0,0,0,0,0,5.734576284,72,27
1764842904,2.763157895,0.947368421,0.052631579,3.088,0,18.2,0,10.875,0.143092105,268,172,6.37,6.8,0,0,0,0,0,5.913424495,71,27
1764842905,3.039473684,0.960526316,0.052631579,3.116,0,22.34,0,11,0.144736842,268,172,6.37,6.8,0,0,0,0,0,5.860273418,72,27
1764842906,3.171052632,0.960526316,0.052631579,3.294,0,25.39,0,11,0.144736842,268,172,6.5,6.8,0,0,0,0,0,5.656748501,73,27
1764842907,3.144736842,0.973684211,0.052631579,3.21,0,27.43,0,10.875,0.143092105,268,172,6.5,6.8,0,0,0,0,0,5.804763478,73,27
1764842908,3.105263158,0.973684211,0.052631579,3.21,0,30.28,0,11.125,0.146381579,268,172,6.5,7,0,0,0,0,0,5.804763478,74,27
1764842909,2.986842105,0.973684211,0.065789474,2.79,0,33.38,0,11.125,0.146381579,270,172,6.5,7,0,0,0,0,0,6.678585373,76,27
1764842910,2.934210526,0.960526316,0.065789474,2.79,0,36.14,0,11.25,0.148026316,270,172,6.37,7,0,0,0,0,0,6.545013665,78,27
1764842911,2.894736842,0.960526316,0.065789474,2.874,0,38.73,0,11.125,0.146381579,270,172,6.25,7,0,0,0,0,0,6.234040855,80,27
1764842912,2.894736842,0.960526316,0.065789474,2.874,0,41.4,0,11.125,0.146381579,270,172,6.25,7,0,0,0,0,0,6.234040855,82,27
