Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature,,,,,
1767516585,1.5,0.75,0.013157895,2.006,0,0,0,6,0.078947368,0,104,0,20,0,0,0,0,0,0,62,28,,,2,1.149215805,1.792965061
1767516586,1.447368421,0.75,0.013157895,1.428,0,1.06,0,6,0.078947368,627,114,11.3,20,0,0,0,0,0,15.03499295,62,28,,,3,,
1767516587,1.75,0.697368421,0,1.428,0,3.83,0,0,0,558,128,9,20,0,0,0,0,0,13.44547858,62,28,,,4,,
1767516588,2.131578947,0.736842105,0,2.174,0,6.8,0,3.75,0.049342105,390,152,8.1,20,0,0,0,0,0,9.438799292,62,28,,,5,,
1767516589,2.855263158,0.736842105,0,2.547,0,9.18,0,3.75,0.049342105,319,164,8,19.8,0,0,0,0,0,8.585256967,63,28,,,6,,
1767516590,3.065789474,0.894736842,0,2.706,0,11.92,0,10.25,0.134868421,252,170,7.2,19.8,0,0,0,0,0,7.538793374,63,28,,,7,,
1767516591,3.171052632,0.947368421,0,2.706,0,15.15,0,10.875,0.143092105,245,170,7.5,19.8,0,0,0,0,0,7.852909765,64,27,,,8,,
1767516592,3.210526316,0.947368421,0.026315789,3.042,0,18.34,0,10.875,0.143092105,247,168,7.6,19.6,0,0,0,0,0,6.995388566,66,28,,,9,,
1767516593,3.157894737,1.013157895,0.052631579,3.042,0,20.55,0,12.625,0.166118421,251,166,7.7,19.4,0,0,0,0,0,7.003055879,67,28,,,10,,
1767516594,3.144736842,1.026315789,0.052631579,2.706,0,23.23,0,12.375,0.162828947,262,166,7.5,19.4,0,0,0,0,0,7.66816281,69,28,,,11,,
1767516595,3.065789474,1.026315789,0.078947368,2.706,0,26.28,0,12.375,0.162828947,265,166,7.3,19.2,0,0,0,0,0,7.463678469,70,28,,,12,,
1767516596,3.013157895,1.026315789,0.118421053,2.799,0,28.94,0,12.375,0.162828947,268,166,7.1,19.2,0,0,0,0,0,7.017960047,71,28,,,13,,
1767516597,3,1,0.118421053,2.799,0,31.44,0,12,0.157894737,270,166,7.1,19.2,0,0,0,0,0,7.017960047,72,28,,,14,,
1767516598,3.026315789,1,0.157894737,2.725,0,34.35,0,12,0.157894737,265,168,7.2,19.4,0,0,0,0,0,7.398197717,73,28,,,15,,
1767516599,3.157894737,0.986842105,0.144736842,2.678,0,36.82,0,11.625,0.152960526,263,168,7.1,19.6,0,0,0,0,0,7.423439248,74,28,,,16,,
1767516600,3.223684211,1,0.144736842,2.678,0,38.95,0,11.75,0.154605263,260,168,7.2,19.6,0,0,0,0,0,7.52799473,76,28,,,17,,
1767516601,3.263157895,1,0.131578947,2.641,0,42.04,0,11.75,0.154605263,258,170,7.1,19.6,0,0,0,0,0,7.617045016,77,28,,,18,,
1767516602,3.328947368,1.013157895,0.131578947,2.641,0,45.64,0,11.625,0.152960526,258,170,7.1,19.6,0,0,0,0,0,7.617045016,78,27,,,19,,
1767516603,3.289473684,1.013157895,0.131578947,2.79,0,49.2,0,11.625,0.152960526,256,172,6.9,19.6,0,0,0,0,0,7.089575242,79,28,,,20,,
1767516604,3.328947368,1,0.144736842,2.893,0,51.84,0,11.625,0.152960526,253,174,6.8,19.6,0,0,0,0,0,6.81642759,80,28,,,21,,
1767516605,3.342105263,1,0.144736842,2.893,0,54.8,0,11.5,0.151315789,253,174,6.7,19.6,0,0,0,0,0,6.716186008,82,28,,,22,,
1767516606,3.394736842,1,0.144736842,2.902,0,57.83,0,11.5,0.151315789,254,172,7,19.6,0,0,0,0,0,6.914741241,83,28,,,23,,
1767516607,3.355263158,0.986842105,0.118421053,2.921,0,61.03,0,11.5,0.151315789,255,172,7,19.8,0,0,0,0,0,6.869816968,84,28,,,24,,
1767516608,3.315789474,0.986842105,0.118421053,2.93,0,63.38,0,11.5,0.151315789,256,172,6.7,19.8,0,0,0,0,0,6.555195726,86,27,,,25,,
1767516609,3.263157895,0.986842105,0.078947368,2.911,0,66.17,0,11.5,0.151315789,256,172,6.7,19.8,0,0,0,0,0,6.597930023,87,27,,,26,,
1767516610,3.302631579,1,0.078947368,2.921,0,69.58,0,11.75,0.154605263,254,176,6.4,19.8,0,0,0,0,0,6.426993372,88,28,,,27,,
1767516611,3.368421053,1,0.078947368,2.939,0,72.49,0,11.75,0.154605263,250,176,6.5,19.8,0,0,0,0,0,6.487479165,88,28,,,28,,
1767516612,3.368421053,0.973684211,0.092105263,2.939,0,76.21,0,11.25,0.148026316,250,176,6.5,19.8,0,0,0,0,0,6.487479165,89,28,,,29,,
1767516613,3.381578947,0.973684211,0.092105263,2.967,0,78.95,0,11.25,0.148026316,248,174,6.9,19.8,0,0,0,0,0,6.744208777,90,28,,,30,,
1767516614,3.328947368,0.973684211,0.092105263,2.986,0,82.4,0,11.25,0.148026316,250,174,6.9,19.8,0,0,0,0,0,6.701241186,90,28,,3.05,31,,
1767516615,3.25,0.986842105,0.065789474,3.032,0,85.34,0,11.375,0.149671053,252,172,6.9,19.8,0,0,0,0,0,6.523773956,91,27,,3.07,32,,
1767516616,3.25,0.986842105,0.065789474,3.032,0,87.86,0,11.375,0.149671053,253,174,6.8,19.6,0,0,0,0,0,6.503940623,91,27,,3.09,33,,
1767516617,3.25,0.986842105,0.065789474,3.004,0,90.56,0,11.375,0.149671053,256,174,6.5,19.6,0,0,0,0,0,6.274979244,92,27,,3.10,34,,
1767516618,3.25,0.986842105,0.065789474,2.976,0,93.28,0,11.375,0.149671053,259,176,6.2,19.4,0,0,0,0,0,6.111083732,93,27,,3.09,35,,
1767516619,3.105263158,0.986842105,0.065789474,2.958,0,95.93,0,11.375,0.149671053,259,176,6.3,19.4,0,0,0,0,0,6.247458871,94,27,,3.06,36,,
1767516620,3.210526316,0.986842105,0.052631579,2.958,0,99.83,0,11.75,0.154605263,259,176,6.3,19.6,0,0,0,0,0,6.247458871,95,27,,3.03,37,,
1767516621,3.328947368,0.960526316,0.052631579,3.014,0,103.25,0,11.5,0.151315789,257,176,6.4,19.6,0,0,0,0,0,6.228710462,96,27,,2.99,38,,
1767516622,3.289473684,0.960526316,0.184210526,3.042,0,106.64,0,11.5,0.151315789,254,180,6.1,19.8,0,0,0,0,0,6.015779093,96,28,,2.96,39,,
1767516623,3.302631579,0.960526316,0.236842105,3.06,0,109.77,0,11.375,0.149671053,248,178,6.3,19.8,0,0,0,0,0,6.107847129,97,27,,2.93,40,,
1767516624,3.381578947,0.947368421,0.236842105,3.06,0,112,0,11.375,0.149671053,246,176,6.6,19.6,0,0,0,0,0,6.326808413,97,27,,2.90,41,,
1767516625,3.368421053,0.947368421,0.197368421,3.042,0,114.62,0,11.375,0.149671053,246,176,6.6,19.4,0,0,0,0,0,6.364206162,98,28,,2.88,42,,
1767516626,3.394736842,0.960526316,0.197368421,3.023,0,117.57,0,11.625,0.152960526,248,172,7,19.6,0,0,0,0,0,6.638028316,99,27,,2.86,43,,
