Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature,,,,,
1767600722,1.5,0.75,0.013157895,1.521,0,1.02,0,8.25,0.108552632,811,116,30.6,20,0,0,0,0,0,38.89566809,80,27,,,2,1.065008608,1.82337376
1767600723,1.578947368,0.75,0,0,0,3.13,0,8.25,0.108552632,710,136,20.8,19.8,0,0,0,0,0,0,81,27,,,3,,
1767600724,1.736842105,0.868421053,0,1.652,0,6.24,0,1.625,0.021381579,542,142,14.1,19.8,0,0,0,0,0,20.19970488,81,27,,,4,,
1767600725,2.289473684,0.973684211,0,2.258,0,9.59,0,3.75,0.049342105,298,162,6.6,19.8,0,0,0,0,0,7.891904819,81,27,,,5,,
1767600726,3.092105263,0.973684211,0,2.725,0,12.38,0,3.75,0.049342105,255,174,6.7,19.8,0,0,0,0,0,7.130238597,82,27,,,6,,
1767600727,3.460526316,0.960526316,0.026315789,2.948,0,15.46,0,6.375,0.083881579,235,174,7.4,20,0,0,0,0,0,7.27952388,82,27,,,7,,
1767600728,3.684210526,0.986842105,0.026315789,3.051,0,18.8,0,9.625,0.126644737,235,172,7.4,20,0,0,0,0,0,6.952926806,83,27,,,8,,
1767600729,3.605263158,0.986842105,0.078947368,3.135,0,22.85,0,9.625,0.126644737,237,172,7.5,20,0,0,0,0,0,6.858083394,85,27,,,9,,
1767600730,3.578947368,1.039473684,0.131578947,3.247,0,25.77,0,11.75,0.154605263,241,170,7.6,20,0,0,0,0,0,6.631762653,86,27,,,10,,
1767600731,3.473684211,1.039473684,0.131578947,3.247,0,29.01,0,12,0.157894737,244,170,7.4,20,0,0,0,0,0,6.457242583,88,27,,,11,,
1767600732,3.486842105,1.039473684,0.118421053,3.275,0,32.49,0,12,0.157894737,245,172,7.2,20.2,0,0,0,0,0,6.30230034,90,27,,,12,,
1767600733,3.473684211,1.039473684,0.131578947,3.275,0,35.79,0,12.125,0.159539474,244,172,7.2,20,0,0,0,0,0,6.30230034,93,27,,,13,,
1767600734,3.434210526,1.026315789,0.131578947,3.331,0,38.94,0,12,0.157894737,246,172,7.1,20,0,0,0,0,0,6.110260073,97,27,,,14,,
1767600735,3.434210526,1.026315789,0.131578947,3.331,0,41.99,0,12,0.157894737,247,172,7.1,20,0,0,0,0,0,6.110260073,101,27,,,15,,
1767600736,3.394736842,1.026315789,0.118421053,3.284,0,45.44,0,11.75,0.154605263,247,172,7.2,20.2,0,0,0,0,0,6.285025926,104,27,,,16,,
1767600737,3.394736842,1.026315789,0.118421053,3.266,0,48.14,0,11.75,0.154605263,250,172,7,20.2,0,0,0,0,0,6.144123585,105,27,,,17,,
1767600738,3.342105263,1.026315789,0.078947368,3.247,0,50.94,0,11.5,0.151315789,249,172,7.1,20.2,0,0,0,0,0,6.268374725,105,27,,,18,,
1767600739,3.328947368,1.026315789,0.078947368,3.21,0,53.98,0,11.5,0.151315789,249,172,7.2,20.2,0,0,0,0,0,6.429891853,105,27,,,19,,
1767600740,3.289473684,1.026315789,0.052631579,3.182,0,57.05,0,11.5,0.151315789,248,170,7.3,20.2,0,0,0,0,0,6.500097947,105,27,,,20,,
1767600741,3.302631579,1.013157895,0.052631579,3.182,0,60.14,0,11.5,0.151315789,248,170,7.3,20.4,0,0,0,0,0,6.500097947,105,27,,,21,,
1767600742,3.315789474,1.026315789,0.052631579,3.172,0,63.61,0,11.375,0.149671053,249,170,7.2,20.4,0,0,0,0,0,6.431270265,105,27,,,22,,
1767600743,3.328947368,1.026315789,0.052631579,3.172,0,66.8,0,11.375,0.149671053,256,172,7,20.6,0,0,0,0,0,6.326196781,105,27,,,23,,
1767600744,3.328947368,1.026315789,0.052631579,3.182,0,69.49,0,11.375,0.149671053,259,172,6.9,20.6,0,0,0,0,0,6.216216216,106,27,,,24,,
1767600745,3.328947368,1.026315789,0.052631579,3.182,0,72.06,0,11.375,0.149671053,259,172,6.9,20.8,0,0,0,0,0,6.216216216,106,27,,,25,,
1767600746,3.171052632,1.026315789,0.052631579,3.154,0,75.05,0,11.5,0.151315789,266,172,6.5,20.8,0,0,0,0,0,5.90785563,107,27,,,26,,
1767600747,2.960526316,1.026315789,0.052631579,3.116,0,77.82,0,11.5,0.151315789,266,172,6.5,20.6,0,0,0,0,0,5.979870835,107,27,,,27,,
1767600748,3.013157895,1,0.065789474,3.107,0,80.87,0,11.875,0.15625,261,174,6.5,20.6,0,0,0,0,0,6.066941701,107,27,,,28,,
