Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1765008388,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,115,18
1765008389,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,114,18
1765008390,0,0,0,0,0,1.65,0,0,0,0,0,0,11.8,0,0,0,0,0,0,114,18
1765008391,2.578947368,0,0,1.521,0,4.13,0,0,0,0,178,0,11.8,0,0,0,0,0,0,114,18
1765008392,3.105263158,0,0,2.342,0,7.41,0,0,0,608,178,19.75,11.8,0,0,0,0,0,25.01773409,114,18
1765008393,3.868421053,0.973684211,0.105263158,3.116,0,11.26,0,0,0,608,178,19.75,11.8,0,0,0,0,0,18.80343508,115,18
1765008394,3.947368421,0.986842105,0.105263158,3.574,0,15.49,0,0,0,384,180,11.75,11.8,0,0,0,0,0,9.862926309,117,18
1765008395,4.157894737,1,0.078947368,3.938,0,19.74,0,0,0,356,180,11,11.8,0,0,0,0,0,8.379866989,118,18
1765008396,4.236842105,1,0.065789474,4.059,0,24.94,0,0,0,320,182,9.75,11.8,0,0,0,0,0,7.28628758,119,18
1765008397,4.421052632,1,0.065789474,4.609,0,29.74,0,0,0,220,184,6.5,11.8,0,0,0,0,0,4.324885391,120,18
1765008398,4.644736842,1,0.052631579,4.609,0,34.01,0,0,0,216,184,6.5,11.8,0,0,0,0,0,4.324885391,120,18
1765008399,4.736842105,1.013157895,0.039473684,4.488,0,38.56,0,10,0.131578947,210,188,6.37,11.8,0,0,0,0,0,4.447268107,121,18
1765008400,4.631578947,1,0.039473684,4.488,0,43.61,0,10.125,0.133223684,208,188,6.37,11.8,0,0,0,0,0,4.447268107,122,18
1765008401,4.592105263,1,0.039473684,4.488,0,47.8,0,10.125,0.133223684,208,188,6.37,12,0,0,0,0,0,4.447268107,123,18
1765008402,4.526315789,1,0.052631579,4.451,0,52.29,0,10.125,0.133223684,208,188,6.5,12,0,0,0,0,0,4.575756936,124,18
1765008403,4.5,1,0.052631579,4.404,0,56.52,0,10.125,0.133223684,210,188,6.5,12,0,0,0,0,0,4.624590012,127,18
1765008404,4.473684211,1,0.052631579,4.348,0,60.49,0,10.125,0.133223684,212,186,6.5,11.8,0,0,0,0,0,4.634316759,129,18
1765008405,4.447368421,1,0.065789474,4.199,0,64.66,0,9.875,0.129934211,214,186,6.5,12,0,0,0,0,0,4.798747896,131,18
1765008406,4.355263158,1,0.065789474,4.161,0,68.45,0,9.875,0.129934211,216,184,6.5,12,0,0,0,0,0,4.790507425,133,18
1765008407,4.328947368,1,0.078947368,4.078,0,72.65,0,9.875,0.129934211,216,186,6.5,12,0,0,0,0,0,4.941162161,135,18
1765008408,4.289473684,1,0.105263158,4.068,0,76.21,0,10.125,0.133223684,218,186,6.37,12,0,0,0,0,0,4.854220962,137,18
1765008409,4.276315789,1,0.105263158,3.956,0,80.07,0,10.125,0.133223684,218,186,6.37,12.2,0,0,0,0,0,4.991654455,138,18
1765008410,4.210526316,0.986842105,0.144736842,3.928,0,83.91,0,10.25,0.134868421,218,188,6.25,12,0,0,0,0,0,4.985561813,140,18
1765008411,4.223684211,0.973684211,0.144736842,3.928,0,88.09,0,10.25,0.134868421,220,188,6.12,12,0,0,0,0,0,4.881862127,141,18
1765008412,4.25,0.973684211,0.184210526,4.059,0,92.18,0,10.25,0.134868421,220,188,6.12,12,0,0,0,0,0,4.724300039,142,18
1765008413,4.315789474,0.973684211,0.197368421,4.059,0,96.31,0,10,0.131578947,220,188,6.12,12,0,0,0,0,0,4.724300039,143,18
1765008414,4.328947368,0.973684211,0.197368421,4.04,0,100.33,0,10,0.131578947,222,188,6,11.8,0,0,0,0,0,4.65347149,145,18
1765008415,4.5,0.973684211,0.197368421,4.04,0,104.52,0,10,0.131578947,220,188,6,11.8,0,0,0,0,0,4.65347149,146,18
1765008416,4.644736842,0.986842105,0.223684211,4.068,0,108.81,0,9.375,0.123355263,218,188,6,11.8,0,0,0,0,0,4.621428021,147,18
1765008417,4.723684211,0.986842105,0.223684211,4.078,0,112.73,0,9.375,0.123355263,218,188,6.12,11.8,0,0,0,0,0,4.702302745,148,18
1765008418,4.776315789,0.986842105,0.236842105,4.143,0,117.16,0,9.25,0.121710526,216,188,6.25,11.8,0,0,0,0,0,4.726862951,149,18
1765008419,4.710526316,1,0.236842105,4.124,0,121.37,0,9.375,0.123355263,218,186,6.25,12,0,0,0,0,0,4.698117746,150,18
1765008420,4.644736842,1,0.236842105,4.124,0,125.43,0,9.375,0.123355263,214,188,6.25,12,0,0,0,0,0,4.748626697,151,18
1765008421,4.578947368,1,0.197368421,4.096,0,129.62,0,9.625,0.126644737,216,188,6.25,12.2,0,0,0,0,0,4.781102025,152,17
1765008422,4.578947368,1,0.197368421,4.096,0,133.64,0,9.625,0.126644737,216,188,6.25,12.2,0,0,0,0,0,4.781102025,153,18
1765008423,4.605263158,1,0.171052632,4.096,0,138.47,0,9.625,0.126644737,216,188,6.25,12.2,0,0,0,0,0,4.781102025,153,17
1765008424,4.578947368,1,0.131578947,4.171,0,142.83,0,9.5,0.125,214,188,6.25,12.2,0,0,0,0,0,4.695117829,154,17
1765008425,4.618421053,1,0.131578947,4.189,0,147.48,0,9.5,0.125,212,188,6.25,12.4,0,0,0,0,0,4.674959421,155,17
1765008426,4.644736842,1,0.105263158,4.217,0,150.58,0,9.5,0.125,212,188,6.37,12.4,0,0,0,0,0,4.733068321,156,17
1765008427,4.684210526,1,0.105263158,4.217,0,154.58,0,9.625,0.126644737,212,186,6.37,12.6,0,0,0,0,0,4.682721713,157,17
1765008428,4.644736842,1,0.105263158,4.208,0,159.08,0,9.875,0.129934211,214,186,6.5,12.8,0,0,0,0,0,4.788495823,157,17
1765008429,4.526315789,1,0.092105263,4.189,0,163.14,0,9.875,0.129934211,214,186,6.37,12.8,0,0,0,0,0,4.714014016,158,17
1765008430,4.460526316,1,0.078947368,4.189,0,167.41,0,9.875,0.129934211,216,186,6.37,12.8,0,0,0,0,0,4.714014016,159,17
1765008431,4.447368421,1,0.078947368,4.189,0,171.28999,0,9.875,0.129934211,216,186,6.37,13,0,0,0,0,0,4.714014016,159,17
1765008432,4.421052632,1,0.065789474,4.189,0,176.32001,0,9.875,0.129934211,216,186,6.37,13,0,0,0,0,0,4.714014016,160,17
1765008433,4.421052632,1,0.065789474,4.199,0,180.32001,0,9.875,0.129934211,216,186,6.37,13,0,0,0,0,0,4.702772938,160,17
1765008434,4.447368421,0.986842105,0.065789474,4.208,0,185.12,0,10,0.131578947,218,186,6.5,13,0,0,0,0,0,4.788495823,161,17
1765008435,4.421052632,0.986842105,0.065789474,4.199,0,188.7,0,10,0.131578947,216,184,6.5,13,0,0,0,0,0,4.747159008,161,17
1765008436,4.381578947,0.986842105,0.039473684,4.227,0,193.37,0,10,0.131578947,218,186,6.5,13,0,0,0,0,0,4.766968575,162,17
1765008437,4.355263158,1,0.039473684,4.199,0,197.17999,0,9.875,0.129934211,216,186,6.37,13,0,0,0,0,0,4.702772938,163,17
1765008438,4.355263158,0.986842105,0.039473684,4.255,0,201.49001,0,9.75,0.128289474,218,186,6.25,13,0,0,0,0,0,4.55346865,163,17
1765008439,4.342105263,0.986842105,0.039473684,4.022,0,205.19,0,9.75,0.128289474,218,186,6.25,13.2,0,0,0,0,0,4.817252702,164,17
1765008440,4.263157895,0.986842105,0.039473684,4.208,0,209.45,0,10,0.131578947,218,186,6.25,13,0,0,0,0,0,4.604322907,164,17
1765008441,4.223684211,0.973684211,0.039473684,4.208,0,214.67999,0,10.5,0.138157895,214,188,6.12,13,0,0,0,0,0,4.557029889,165,17
1765008442,4.210526316,0.973684211,0.052631579,4.208,0,218.31,0,10.5,0.138157895,212,188,6.25,13.2,0,0,0,0,0,4.653829543,165,17
1765008443,4.263157895,0.973684211,0.065789474,4.161,0,222.37,0,10.75,0.141447368,214,188,6.25,13.2,0,0,0,0,0,4.706396181,165,17
1765008444,4.302631579,0.973684211,0.065789474,4.152,0,226.02,0,10.875,0.143092105,214,188,6.25,13.2,0,0,0,0,0,4.716589566,166,17
1765008445,4.407894737,0.973684211,0.078947368,4.04,0,229.89,0,10.875,0.143092105,212,188,6.25,13.2,0,0,0,0,0,4.847366135,166,17
