Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1767719514,1.776315789,0.710526316,0,1.736,0,1.74,0,0,0,443,144,7.2,6.2,0,0,0,0,0,9.953962921,79,26
1767719515,2.039473684,0.802631579,0,2.015,0,3.75,0,8.875,0.116776316,318,168,5.5,6.2,0,0,0,0,0,7.642710244,79,26
1767719516,2.460526316,0.802631579,0,2.109,0,5.86,0,8.875,0.116776316,291,174,5.5,6.4,0,0,0,0,0,7.562840328,79,26
1767719517,2.657894737,0.855263158,0,2.183,0,8.04,0,10.5,0.138157895,286,172,5.8,6.6,0,0,0,0,0,7.616446271,80,26
1767719518,2.960526316,0.868421053,0,2.323,0,10.4,0,13.125,0.172697368,280,172,6,6.8,0,0,0,0,0,7.404208058,82,26
1767719519,3.105263158,0.868421053,0,2.389,0,12.75,0,13.125,0.172697368,279,172,6,7,0,0,0,0,0,7.199683214,83,26
1767719520,3.421052632,0.907894737,0,2.398,0,15.15,0,12.5,0.164473684,284,176,5.6,7.2,0,0,0,0,0,6.850152905,85,26
1767719521,3.5,0.934210526,0,2.379,0,17.53,0,12.125,0.159539474,287,176,5.4,7.4,0,0,0,0,0,6.658282163,86,26
1767719522,3.5,0.934210526,0,2.351,0,19.88,0,12.125,0.159539474,285,176,5.6,7.6,0,0,0,0,0,6.987073913,88,26
1767719523,3.671052632,0.894736842,0.026315789,2.37,0,22.25,0,12,0.157894737,278,172,6.2,7.8,0,0,0,0,0,7.499334736,89,26
1767719524,3.894736842,0.881578947,0.026315789,2.398,0,24.65,0,12,0.157894737,271,170,6.5,8,0,0,0,0,0,7.680037809,91,26
1767719525,3.934210526,0.881578947,0.052631579,2.426,0,27.08,0,12,0.157894737,273,170,6.5,8.2,0,0,0,0,0,7.591329534,92,26
1767719526,3.894736842,0.921052632,0.065789474,2.407,0,29.48,0,12.75,0.167763158,274,170,6.6,8.4,0,0,0,0,0,7.769001683,93,26
1767719527,3.855263158,0.960526316,0.065789474,2.407,0,31.89,0,12.375,0.162828947,278,170,6.3,8.6,0,0,0,0,0,7.415865243,94,26
1767719528,3.894736842,0.960526316,0.065789474,2.445,0,34.34,0,12.375,0.162828947,278,172,6.1,8.8,0,0,0,0,0,7.151985555,94,26
1767719529,3.934210526,0.947368421,0.052631579,2.547,0,36.88,0,12,0.157894737,270,174,6.2,8.8,0,0,0,0,0,7.059252175,95,26
1767719530,3.921052632,0.947368421,0.052631579,2.603,0,39.49,0,11.875,0.15625,269,174,6.2,9,0,0,0,0,0,6.907385332,96,26
1767719531,3.842105263,0.947368421,0.065789474,2.622,0,42.11,0,11.875,0.15625,264,172,6.7,9.2,0,0,0,0,0,7.325206363,96,26
1767719532,3.644736842,0.934210526,0.078947368,2.603,0,44.71,0,11.875,0.15625,264,170,6.9,9.2,0,0,0,0,0,7.510531071,97,26
1767719533,3.276315789,0.960526316,0.078947368,2.622,0,47.33,0,12.25,0.161184211,264,168,7,9.2,0,0,0,0,0,7.47519836,98,26
1767719534,3.210526316,0.960526316,0.078947368,2.622,0,49.96,0,12.25,0.161184211,262,168,7.1,9.2,0,0,0,0,0,7.581986908,100,26
1767719535,3.105263158,0.986842105,0.078947368,2.641,0,52.6,0,12.125,0.159539474,265,168,7.1,9.2,0,0,0,0,0,7.527485926,102,26
1767719536,3.171052632,0.986842105,0.078947368,2.669,0,55.26,0,12.25,0.161184211,247,168,7.5,9.2,0,0,0,0,0,7.868150775,103,26
1767719537,3.131578947,0.986842105,0.078947368,2.641,0,57.91,0,12.25,0.161184211,246,168,7.8,9.2,0,0,0,0,0,8.269632425,105,26
1767719538,3.092105263,1,0.078947368,2.622,0,60.53,0,12.25,0.161184211,246,168,7.7,9.4,0,0,0,0,0,8.222718196,108,26
1767719539,3.039473684,1,0.105263158,2.659,0,63.19,0,12.25,0.161184211,233,166,8.2,9.4,0,0,0,0,0,8.53206809,113,26
1767719540,2.855263158,1,0.092105263,2.585,0,65.77,0,14.375,0.189144737,245,166,8,9.4,0,0,0,0,0,8.562193634,116,26
1767719541,2.947368421,1,0.092105263,2.603,0,68.37,0,16.375,0.215460526,244,166,7.9,9.4,0,0,0,0,0,8.396751839,116,26
1767719542,2.921052632,1,0.065789474,2.65,0,71.03,0,16.375,0.215460526,257,168,7.5,9.4,0,0,0,0,0,7.92451634,116,26
1767719543,2.921052632,1,0.065789474,2.65,0,73.67,0,16.375,0.215460526,254,168,7.4,9.4,0,0,0,0,0,7.818856122,116,26
1767719544,2.921052632,1,0.065789474,2.697,0,76.37,0,16.375,0.215460526,238,170,7.7,9.4,0,0,0,0,0,8.089254948,116,26
1767719545,3.144736842,1,0.052631579,2.837,0,79.21,0,16.375,0.215460526,239,170,7.7,9.4,0,0,0,0,0,7.690079797,116,26
1767719546,3.210526316,0.986842105,0.052631579,2.818,0,82.03,0,12.5,0.164473684,221,172,8,9.4,0,0,0,0,0,8.138186405,117,26
1767719547,3.25,0.986842105,0.131578947,2.799,0,84.82,0,12.5,0.164473684,226,172,7.8,9.4,0,0,0,0,0,7.988529291,118,26
1767719548,3.315789474,1,0.131578947,2.743,0,87.57,0,14.625,0.192434211,239,172,7.3,9.4,0,0,0,0,0,7.629120247,118,26
1767719549,3.302631579,1,0.131578947,2.725,0,90.29,0,14.625,0.192434211,242,172,7.2,9.6,0,0,0,0,0,7.574323045,118,26
1767719550,3.131578947,1,0.144736842,2.715,0,93.01,0,14.625,0.192434211,262,172,6.7,9.6,0,0,0,0,0,7.074301281,118,26
1767719551,3.039473684,0.973684211,0.144736842,2.659,0,95.67,0,15.875,0.208881579,262,170,6.9,9.6,0,0,0,0,0,7.352392724,118,26
1767719552,3.078947368,0.973684211,0.144736842,2.715,0,98.38,0,12.375,0.162828947,264,170,6.9,9.6,0,0,0,0,0,7.200701286,119,26
1767719553,3.157894737,0.973684211,0.131578947,2.753,0,101.13,0,12.375,0.162828947,261,168,7.1,9.6,0,0,0,0,0,7.221244698,119,26
1767719554,3.210526316,1,0.131578947,2.771,0,103.91,0,11.75,0.154605263,260,168,7.2,9.8,0,0,0,0,0,7.275372863,120,26
1767719555,3.092105263,1.013157895,0.131578947,2.697,0,106.6,0,11.625,0.152960526,260,166,7.5,9.8,0,0,0,0,0,7.693728073,120,26
1767719556,3.092105263,1.013157895,0.118421053,2.622,0,109.22,0,11.625,0.152960526,266,164,7.6,9.8,0,0,0,0,0,7.922691213,120,26
1767719557,3.039473684,1,0.105263158,2.529,0,111.75,0,12.125,0.159539474,272,164,7.4,10,0,0,0,0,0,7.997924863,121,26
1767719558,2.960526316,0.986842105,0.105263158,2.379,0,114.13,0,12.5,0.164473684,277,164,7.2,10,0,0,0,0,0,8.272343946,121,26
1767719559,2.986842105,0.986842105,0.092105263,2.314,0,116.45,0,12.5,0.164473684,287,168,6.4,10.2,0,0,0,0,0,7.74415256,122,26
1767719560,3.092105263,0.947368421,0.078947368,2.333,0,118.78,0,12.375,0.162828947,285,170,6.3,10.2,0,0,0,0,0,7.651109411,123,26
1767719561,3.210526316,0.907894737,0.078947368,2.333,0,121.11,0,11.875,0.15625,283,170,6.2,10.4,0,0,0,0,0,7.52966323,124,26
1767719562,3.394736842,0.907894737,0.052631579,2.473,0,123.58,0,11.875,0.15625,284,170,6.1,10.6,0,0,0,0,0,6.988840769,125,26
1767719563,3.460526316,0.907894737,0.039473684,2.51,0,126.09,0,11.625,0.152960526,279,172,6.2,10.8,0,0,0,0,0,7.081020581,126,26
1767719564,3.513157895,0.907894737,0.039473684,2.51,0,128.60001,0,11.625,0.152960526,282,168,6.5,11,0,0,0,0,0,7.250984461,126,26
1767719565,3.526315789,0.921052632,0.039473684,2.482,0,131.09,0,11.625,0.152960526,282,166,6.9,11.2,0,0,0,0,0,7.691364493,127,26
1767719566,3.460526316,0.921052632,0.039473684,2.361,0,133.45,0,11.625,0.152960526,284,164,7,11.2,0,0,0,0,0,8.103915349,127,26
1767719567,3.328947368,0.934210526,0.052631579,2.221,0,135.67,0,11.5,0.151315789,285,164,6.9,11.4,0,0,0,0,0,8.491680614,128,26
1767719569,3.302631579,0.934210526,0.065789474,2.146,0,139.99001,0,12.25,0.161184211,292,166,6.5,11.8,0,0,0,0,0,8.379960292,129,26
1767719570,3.328947368,0.894736842,0.065789474,2.081,0,142.07001,0,12.75,0.167763158,292,168,6.2,12,0,0,0,0,0,8.342191305,130,26
1767719571,3.355263158,0.894736842,0.065789474,2.081,0,144.14999,0,12.75,0.167763158,291,168,6.2,12.2,0,0,0,0,0,8.342191305,131,26
1767719572,3.473684211,0.894736842,0.052631579,2.099,0,146.25,0,12.75,0.167763158,289,170,6.1,12.4,0,0,0,0,0,8.234118949,130,26
1767719573,3.513157895,0.881578947,0.039473684,2.118,0,148.37,0,13,0.171052632,287,170,6,12.6,0,0,0,0,0,8.026433722,131,26
1767719574,3.552631579,0.868421053,0.039473684,2.146,0,150.50999,0,13.125,0.172697368,285,172,6,12.8,0,0,0,0,0,8.014961261,131,26
1767719575,3.539473684,0.868421053,0.052631579,2.174,0,152.69,0,13.125,0.172697368,284,172,6,13,0,0,0,0,0,7.911705368,132,26
1767719577,3.565789474,0.881578947,0.052631579,2.174,0,157.05,0,12.75,0.167763158,291,166,6.5,13.4,0,0,0,0,0,8.27203543,133,26
1767719578,3.539473684,0.881578947,0.052631579,2.183,0,159.24001,0,12.75,0.167763158,290,166,6.6,13.6,0,0,0,0,0,8.364594951,133,26
1767719579,3.407894737,0.894736842,0.065789474,2.165,0,161.39999,0,12.375,0.162828947,291,168,6.1,13.8,0,0,0,0,0,7.889189224,134,26
1767719580,3.407894737,0.894736842,0.065789474,2.165,0,163.57001,0,12.625,0.166118421,287,172,5.9,14,0,0,0,0,0,7.812189664,135,26
1767719581,3.394736842,0.894736842,0.052631579,2.277,0,165.84,0,12.625,0.166118421,288,172,5.8,14.4,0,0,0,0,0,7.302026942,136,26
1767719582,3.368421053,0.881578947,0.052631579,2.286,0,168.13,0,12.375,0.162828947,293,172,5.6,14.4,0,0,0,0,0,7.02247191,136,26
1767719583,3.197368421,0.881578947,0.052631579,2.221,0,170.35001,0,12.125,0.159539474,328,158,6.1,14.6,0,0,0,0,0,7.232458324,137,26
1767719584,2.947368421,0.881578947,0.052631579,1.959,0,172.31,0,12.125,0.159539474,341,150,6.9,14.8,0,0,0,0,0,8.805513017,137,26
1767719585,2.802631579,0.894736842,0.039473684,1.931,0,174.24001,0,11.375,0.149671053,344,150,6.9,15,0,0,0,0,0,8.933195236,138,26
1767719586,2.697368421,0.894736842,0.039473684,2.081,0,176.32001,0,11.25,0.148026316,301,162,6.9,14.8,0,0,0,0,0,8.952435322,138,26
1767719587,2.763157895,0.894736842,0.026315789,2.277,0,178.60001,0,11.25,0.148026316,288,170,6.2,14.8,0,0,0,0,0,7.714801219,138,26
1767719588,2.934210526,0.934210526,0.013157895,2.454,0,181.05,0,10.375,0.136513158,275,172,6.2,14.8,0,0,0,0,0,7.242567607,137,26
1767719589,2.934210526,0.934210526,0.013157895,2.641,0,183.69,0,10.375,0.136513158,269,172,6.5,14.8,0,0,0,0,0,7.055401181,138,26
1767719590,2.973684211,0.921052632,0.013157895,2.678,0,186.37,0,11.125,0.146381579,265,170,6.8,14.8,0,0,0,0,0,7.194396834,138,25
1767719591,3.065789474,0.947368421,0.013157895,2.753,0,189.12,0,11.5,0.151315789,257,172,6.8,14.8,0,0,0,0,0,7.080751809,138,26
1767719592,3.144736842,0.947368421,0.039473684,2.818,0,191.94,0,11.5,0.151315789,253,174,6.7,14.8,0,0,0,0,0,6.894990326,138,26
1767719593,3.421052632,0.973684211,0.065789474,3.014,0,194.96001,0,12,0.157894737,253,178,6.3,14.8,0,0,0,0,0,6.201031537,138,26
1767719594,3.539473684,0.960526316,0.065789474,3.098,0,198.05,0,11.75,0.154605263,253,178,6.1,14.8,0,0,0,0,0,5.84140117,138,26
1767719595,3.631578947,0.960526316,0.078947368,3.126,0,201.17999,0,11.75,0.154605263,255,174,6.5,15,0,0,0,0,0,6.030076165,138,26
1767719596,3.644736842,0.947368421,0.092105263,3.07,0,204.25,0,10.875,0.143092105,259,172,6.7,15,0,0,0,0,0,6.256244572,139,26
1767719597,3.565789474,0.947368421,0.092105263,3.07,0,207.32001,0,10.875,0.143092105,261,170,6.8,15.2,0,0,0,0,0,6.275783781,139,26
1767719598,3.513157895,0.947368421,0.092105263,2.818,0,210.14,0,10.875,0.143092105,266,168,7,15.2,0,0,0,0,0,6.955277565,139,25
1767719599,3.407894737,0.986842105,0.078947368,2.743,0,212.88,0,11,0.144736842,268,168,6.9,15.4,0,0,0,0,0,7.043403699,140,25
1767719600,3.394736842,0.986842105,0.078947368,2.697,0,215.58,0,11.375,0.149671053,268,172,6.4,15.4,0,0,0,0,0,6.802648781,140,25
1767719601,3.526315789,0.986842105,0.065789474,2.734,0,218.31,0,11.375,0.149671053,266,174,6.3,15.6,0,0,0,0,0,6.682506683,140,25
1767719602,3.552631579,0.960526316,0.078947368,2.827,0,221.14,0,11.375,0.149671053,266,174,6.2,15.6,0,0,0,0,0,6.360083297,140,25
1767719603,3.671052632,0.934210526,0.078947368,2.846,0,223.98,0,11.25,0.148026316,265,174,6.2,15.8,0,0,0,0,0,6.317634352,140,25
1767719604,3.697368421,0.934210526,0.078947368,2.855,0,226.84,0,11.25,0.148026316,265,174,6.4,15.8,0,0,0,0,0,6.500893873,141,25
1767719605,3.657894737,0.934210526,0.078947368,2.799,0,229.64,0,10.875,0.143092105,269,172,6.4,16,0,0,0,0,0,6.554690701,141,25
1767719606,3.631578947,0.934210526,0.078947368,2.762,0,232.39999,0,11,0.144736842,271,172,6.4,16.2,0,0,0,0,0,6.642518345,141,25
1767719607,3.631578947,0.934210526,0.078947368,2.725,0,235.12,0,11,0.144736842,276,172,6.2,16.4,0,0,0,0,0,6.522333733,141,25
1767719608,3.539473684,0.934210526,0.078947368,2.622,0,237.75,0,11,0.144736842,276,172,6.2,16.4,0,0,0,0,0,6.778549172,142,25
1767719609,3.5,0.934210526,0.065789474,2.603,0,240.35001,0,11,0.144736842,275,174,6,16.6,0,0,0,0,0,6.68456645,142,25
1767719610,3.513157895,0.921052632,0.065789474,2.641,0,242.99001,0,11.125,0.146381579,275,174,6,16.6,0,0,0,0,0,6.588410985,142,25
1767719611,3.552631579,0.907894737,0.065789474,2.659,0,245.64999,0,11.25,0.148026316,272,174,6.2,16.8,0,0,0,0,0,6.761915149,143,25
1767719612,3.578947368,0.907894737,0.065789474,2.697,0,248.35001,0,11.25,0.148026316,271,174,6.2,17,0,0,0,0,0,6.666666667,143,25
1767719613,3.592105263,0.907894737,0.078947368,2.697,0,251.03999,0,11.125,0.146381579,269,174,6.3,17.2,0,0,0,0,0,6.774193548,143,25
1767719614,3.578947368,0.934210526,0.078947368,2.743,0,253.78999,0,11.25,0.148026316,267,174,6.3,17.2,0,0,0,0,0,6.660605164,144,25
1767719615,3.618421053,0.934210526,0.052631579,2.743,0,256.53,0,11.25,0.148026316,264,174,6.3,17.4,0,0,0,0,0,6.660605164,144,25
1767719616,3.671052632,0.934210526,0.039473684,2.855,0,259.38,0,11.25,0.148026316,262,174,6.3,17.4,0,0,0,0,0,6.399317406,145,25
1767719617,3.710526316,0.934210526,0.039473684,2.883,0,262.26999,0,11,0.144736842,261,174,6.4,17.6,0,0,0,0,0,6.437725069,145,25
1767719618,3.710526316,0.934210526,0.039473684,2.865,0,265.13,0,11,0.144736842,262,174,6.5,17.6,0,0,0,0,0,6.579413521,146,25
1767719619,3.618421053,0.947368421,0.052631579,2.818,0,267.95001,0,11.125,0.146381579,267,172,6.5,17.8,0,0,0,0,0,6.612276454,146,25
1767719620,3.578947368,0.960526316,0.052631579,2.734,0,270.67999,0,11.125,0.146381579,267,172,6.5,18,0,0,0,0,0,6.815417523,146,25
1767719621,3.552631579,0.960526316,0.065789474,2.706,0,273.39001,0,11.125,0.146381579,269,172,6.5,18,0,0,0,0,0,6.885957943,146,25
1767719622,3.552631579,0.947368421,0.065789474,2.678,0,276.07001,0,11.375,0.149671053,269,172,6.4,18.2,0,0,0,0,0,6.850854751,147,25
1767719623,3.565789474,0.947368421,0.078947368,2.65,0,278.72,0,11.375,0.149671053,271,172,6.3,18.2,0,0,0,0,0,6.815084053,146,25
1767719624,3.578947368,0.934210526,0.092105263,2.65,0,281.37,0,11.5,0.151315789,272,172,6.2,18.4,0,0,0,0,0,6.706908115,146,25
1767719625,3.592105263,0.934210526,0.092105263,2.678,0,284.04001,0,11.375,0.149671053,271,176,6,18.6,0,0,0,0,0,6.572101429,147,25
1767719626,3.671052632,0.907894737,0.065789474,2.725,0,286.76999,0,11.25,0.148026316,270,176,5.9,18.6,0,0,0,0,0,6.351051691,147,25
1767719627,3.763157895,0.907894737,0.065789474,2.799,0,289.57001,0,11.25,0.148026316,263,176,6.2,18.8,0,0,0,0,0,6.497589604,147,25
1767719628,3.763157895,0.894736842,0.052631579,2.837,0,292.41,0,11,0.144736842,263,176,6.2,19,0,0,0,0,0,6.410521527,147,25
1767719629,3.736842105,0.921052632,0.052631579,2.837,0,295.23999,0,11.25,0.148026316,263,174,6.3,19,0,0,0,0,0,6.439874065,147,25
1767719630,3.710526316,0.921052632,0.039473684,2.846,0,298.09,0,11.25,0.148026316,263,174,6.3,19.2,0,0,0,0,0,6.41953168,147,25
1767719631,3.723684211,0.921052632,0.026315789,2.846,0,300.92999,0,11.25,0.148026316,265,176,6.2,19.4,0,0,0,0,0,6.390237366,147,25
1767719632,3.789473684,0.921052632,0.026315789,2.846,0,303.78,0,11,0.144736842,265,174,6.2,19.4,0,0,0,0,0,6.317634352,147,25
1767719633,3.802631579,0.921052632,0.039473684,2.855,0,306.63,0,11,0.144736842,262,174,6.4,19.6,0,0,0,0,0,6.500893873,147,25
1767719634,3.789473684,0.934210526,0.052631579,2.846,0,309.48001,0,11,0.144736842,261,174,6.5,19.8,0,0,0,0,0,6.623326336,148,25
1767719635,3.789473684,0.947368421,0.052631579,2.846,0,312.32999,0,11.25,0.148026316,262,174,6.4,19.8,0,0,0,0,0,6.521429008,148,25
1767719636,3.776315789,0.947368421,0.039473684,2.818,0,315.14001,0,11.25,0.148026316,264,174,6.3,20,0,0,0,0,0,6.483349113,148,25
1767719637,3.776315789,0.947368421,0.065789474,2.818,0,317.95999,0,11.375,0.149671053,266,176,6.2,20.2,0,0,0,0,0,6.453761919,148,25
1767719638,3.815789474,0.947368421,0.065789474,2.837,0,320.79999,0,11.375,0.149671053,266,176,6,20.4,0,0,0,0,0,6.20373051,149,25
1767719639,3.815789474,0.947368421,0.078947368,2.855,0,323.64999,0,11,0.144736842,263,176,6.1,20.4,0,0,0,0,0,6.267337923,149,25
1767719640,3.828947368,0.934210526,0.078947368,2.911,0,326.56,0,10.875,0.143092105,260,176,6.2,20.6,0,0,0,0,0,6.247543808,149,25
