Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1767776571,1.486842105,0.75,0,0,0,0,0,11,0.144736842,724,144,27.1,20.6,0,0,0,0,0,0,73,29
1767776572,2.355263158,0.894736842,0,1.894,0,1.84,0,5,0.065789474,517,154,16.6,20.6,0,0,0,0,0,22.49566349,73,29
1767776573,2.513157895,0.894736842,0.013157895,2.379,0,4.3,0,5,0.065789474,310,164,6.3,20.6,0,0,0,0,0,7.238300952,72,29
1767776575,2.631578947,0.934210526,0.026315789,2.379,0,8.99,0,11.125,0.146381579,277,172,6.2,20.8,0,0,0,0,0,7.470959657,73,29
1767776577,2.855263158,0.934210526,0.039473684,2.501,0,13.39,0,11.375,0.149671053,275,170,6.5,20.8,0,0,0,0,0,7.363686828,73,29
1767776578,2.894736842,0.947368421,0.039473684,2.631,0,16.16,0,11.375,0.149671053,274,168,6.8,20.8,0,0,0,0,0,7.236814099,74,29
1767776580,2.828947368,0.960526316,0.052631579,2.687,0,21.39,0,11.5,0.151315789,281,168,6.6,20.8,0,0,0,0,0,6.877579092,76,29
1767776581,2.842105263,0.960526316,0.052631579,2.687,0,24.4,0,11.75,0.154605263,282,168,6.5,20.8,0,0,0,0,0,6.773373348,77,29
1767776582,2.855263158,0.960526316,0.065789474,2.846,0,27.27,0,11.75,0.154605263,281,170,6.4,20.8,0,0,0,0,0,6.371519309,78,29
1767776583,2.907894737,0.960526316,0.065789474,2.846,0,29.68,0,11.375,0.149671053,274,170,6.4,20.8,0,0,0,0,0,6.371519309,80,29
1767776584,2.947368421,0.960526316,0.065789474,2.706,0,32.12,0,11.375,0.149671053,271,170,6.5,21,0,0,0,0,0,6.80585513,82,29
1767776585,2.960526316,0.960526316,0.078947368,2.622,0,34.66,0,11.5,0.151315789,269,170,6.8,21,0,0,0,0,0,7.348094358,84,29
1767776586,2.960526316,0.973684211,0.078947368,2.603,0,37.12,0,11.75,0.154605263,269,170,6.8,21,0,0,0,0,0,7.401682794,88,29
1767776587,2.907894737,0.973684211,0.065789474,2.575,0,39.49,0,11.75,0.154605263,272,170,6.7,21,0,0,0,0,0,7.372196915,92,29
1767776588,2.907894737,0.986842105,0.052631579,2.575,0,42.45,0,11.625,0.152960526,273,170,6.6,21,0,0,0,0,0,7.262164125,94,29
1767776589,2.907894737,0.986842105,0.052631579,2.594,0,45.25,0,11.625,0.152960526,273,170,6.5,21,0,0,0,0,0,7.099712735,96,29
1767776590,2.907894737,0.986842105,0.052631579,2.622,0,47.68,0,11.375,0.149671053,274,170,6.5,21,0,0,0,0,0,7.023913725,96,29
1767776591,2.894736842,0.960526316,0.052631579,2.631,0,50.47,0,11.25,0.148026316,274,170,6.5,21,0,0,0,0,0,6.999860003,97,29
1767776592,2.868421053,0.960526316,0.039473684,2.631,0,53.69,0,11.25,0.148026316,274,170,6.5,21,0,0,0,0,0,6.999860003,98,29
1767776593,2.881578947,0.960526316,0.039473684,2.659,0,56.01,0,11.375,0.149671053,274,172,6.4,21.2,0,0,0,0,0,6.899823192,99,29
1767776594,2.907894737,0.947368421,0.039473684,2.678,0,59.86,0,11.5,0.151315789,275,170,6.4,21,0,0,0,0,0,6.771197021,100,29
1767776595,2.907894737,0.947368421,0.039473684,2.734,0,63.32,0,11.5,0.151315789,274,170,6.5,21,0,0,0,0,0,6.736170125,101,29
1767776596,2.934210526,0.960526316,0.039473684,2.79,0,66.68,0,11.25,0.148026316,273,170,6.6,21.2,0,0,0,0,0,6.702480933,102,29
1767776597,2.934210526,0.960526316,0.039473684,2.846,0,69.03,0,11.125,0.146381579,274,170,6.5,21.2,0,0,0,0,0,6.471074298,102,29
1767776598,2.960526316,0.960526316,0.039473684,2.846,0,70.43,0,11.125,0.146381579,275,170,6.5,21,0,0,0,0,0,6.471074298,103,29
1767776599,2.973684211,0.960526316,0.026315789,2.65,0,72.71,0,11.125,0.146381579,276,168,6.6,21.2,0,0,0,0,0,6.97357438,103,29
1767776600,2.960526316,0.960526316,0.026315789,2.65,0,75.27,0,11.25,0.148026316,279,168,6.6,21.2,0,0,0,0,0,6.97357438,104,29
1767776601,2.868421053,0.960526316,0.026315789,2.613,0,77.65,0,11.25,0.148026316,280,168,6.7,21.2,0,0,0,0,0,7.179520151,104,29
1767776602,2.828947368,0.960526316,0.026315789,2.641,0,80.1,0,11.375,0.149671053,283,168,6.4,21.2,0,0,0,0,0,6.785339426,105,29
1767776603,2.828947368,0.960526316,0.026315789,2.641,0,83.05,0,11.375,0.149671053,283,170,6.2,21.2,0,0,0,0,0,6.651504098,105,28
1767776604,2.802631579,0.960526316,0.039473684,2.799,0,86.02,0,11.375,0.149671053,280,172,6.2,21.2,0,0,0,0,0,6.349856616,105,29
1767776605,2.868421053,0.934210526,0.026315789,2.79,0,88.11,0,11,0.144736842,279,172,6.2,21.2,0,0,0,0,0,6.370342971,106,29
1767776606,2.881578947,0.934210526,0.026315789,2.743,0,91.2,0,11,0.144736842,277,172,6.3,21.2,0,0,0,0,0,6.584035282,107,29
1767776607,2.894736842,0.934210526,0.013157895,2.743,0,94.28,0,11,0.144736842,275,170,6.4,21.2,0,0,0,0,0,6.610750733,107,29
1767776608,2.907894737,0.947368421,0.026315789,2.753,0,96.79,0,11,0.144736842,275,170,6.4,21.2,0,0,0,0,0,6.586733906,108,29
1767776609,2.921052632,0.960526316,0.026315789,2.809,0,99.88,0,11.125,0.146381579,274,170,6.5,21.2,0,0,0,0,0,6.556318778,108,29
1767776610,2.921052632,0.960526316,0.026315789,2.753,0,101.81,0,11.125,0.146381579,275,170,6.5,21.2,0,0,0,0,0,6.689651624,109,29
1767776611,2.934210526,0.947368421,0.052631579,2.706,0,104.57,0,11.125,0.146381579,275,170,6.4,21.2,0,0,0,0,0,6.701149666,109,29
1767776612,2.934210526,0.960526316,0.052631579,2.706,0,107.51,0,11.25,0.148026316,275,170,6.4,21.2,0,0,0,0,0,6.701149666,110,29
1767776613,2.894736842,0.960526316,0.065789474,2.706,0,109.86,0,11.25,0.148026316,276,170,6.4,21.2,0,0,0,0,0,6.701149666,110,29
1767776614,2.907894737,0.947368421,0.065789474,2.725,0,112.87,0,11,0.144736842,277,172,6.2,21.2,0,0,0,0,0,6.522333733,110,29
