Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1767868269,1.578947368,0.763157895,0.039473684,1.129,0,0,0,5.125,0.067434211,0,108,0,20.8,0,0,0,0,0,0,79,25
1767868270,1.618421053,0.697368421,0.039473684,0,0,1.87,0,0,0,715,116,10.4,20.8,0,0,0,0,0,0,80,25
1767868271,1.855263158,0.710526316,0.039473684,0.672,0,4.36,0,0,0,529,130,7.9,20.6,0,0,0,0,0,25.47154603,80,25
1767868272,2.078947368,0.710526316,0.065789474,1.764,0,6.55,0,0,0,399,152,7.1,20.6,0,0,0,0,0,10.1964614,81,25
1767868273,2.539473684,0.763157895,0.078947368,2.127,0,8.91,0,8.125,0.106907895,332,168,7,20.6,0,0,0,0,0,9.214891264,81,25
1767868275,2.842105263,0.855263158,0.052631579,2.211,0,14.18,0,9.75,0.128289474,265,170,6.7,20.4,0,0,0,0,0,8.585890946,81,25
1767868276,2.921052632,0.947368421,0.052631579,2.305,0,16.51,0,11.5,0.151315789,262,170,6.9,20.2,0,0,0,0,0,8.481555689,82,25
1767868277,2.973684211,0.947368421,0.039473684,2.547,0,19.88,0,11.5,0.151315789,261,170,7,20.2,0,0,0,0,0,7.786949073,83,25
1767868278,3.013157895,0.947368421,0.039473684,2.669,0,22.75,0,11.5,0.151315789,258,170,7.1,20.2,0,0,0,0,0,7.537154989,84,25
1767868279,3.065789474,0.986842105,0.039473684,2.893,0,25.46,0,11.625,0.152960526,258,170,7,20,0,0,0,0,0,6.85562063,85,25
1767868280,3.078947368,0.986842105,0.052631579,2.893,0,29.08,0,11.625,0.152960526,256,172,6.8,20,0,0,0,0,0,6.738077072,86,25
1767868281,3.078947368,0.986842105,0.065789474,2.893,0,31.2,0,11.875,0.15625,256,172,6.8,20,0,0,0,0,0,6.738077072,87,25
1767868283,3.118421053,0.973684211,0.065789474,2.809,0,36.56,0,12,0.157894737,260,174,6.4,20.2,0,0,0,0,0,6.607338275,89,25
1767868284,3.157894737,0.960526316,0.052631579,2.781,0,39.22,0,11.75,0.154605263,259,174,6.5,20.2,0,0,0,0,0,6.778105676,91,25
1767868285,3.197368421,0.960526316,0.052631579,2.743,0,42.21,0,11.5,0.151315789,258,174,6.6,20.4,0,0,0,0,0,6.977776838,92,25
1767868286,3.210526316,0.960526316,0.052631579,2.743,0,45.56,0,11.5,0.151315789,257,172,6.7,20.4,0,0,0,0,0,7.002069268,93,25
1767868287,3.184210526,0.960526316,0.052631579,2.762,0,48.81,0,11.5,0.151315789,256,172,6.8,20.6,0,0,0,0,0,7.057675741,94,25
1767868288,3.184210526,0.960526316,0.039473684,2.846,0,52.18,0,11.5,0.151315789,256,174,6.7,20.6,0,0,0,0,0,6.827120993,94,25
1767868289,3.236842105,0.986842105,0.039473684,2.911,0,55.24,0,11.625,0.152960526,255,172,6.8,20.4,0,0,0,0,0,6.69640659,95,25
1767868290,3.210526316,0.986842105,0.052631579,2.967,0,57.86,0,11.625,0.152960526,255,172,6.8,20.4,0,0,0,0,0,6.570048309,96,25
1767868291,3.157894737,0.986842105,0.052631579,2.967,0,60.19,0,11.75,0.154605263,258,172,6.9,20.4,0,0,0,0,0,6.666666667,98,25
1767868292,3.118421053,0.986842105,0.052631579,2.967,0,62.7,0,11.75,0.154605263,258,172,6.9,20.4,0,0,0,0,0,6.666666667,100,25
1767868293,3.065789474,0.986842105,0.052631579,2.93,0,65.62,0,11.75,0.154605263,260,172,6.8,20.4,0,0,0,0,0,6.653034469,102,25
1767868294,3.013157895,0.986842105,0.052631579,2.902,0,68.59,0,12,0.157894737,260,172,6.7,20.4,0,0,0,0,0,6.618395187,104,25
1767868295,2.986842105,0.973684211,0.052631579,2.902,0,71.5,0,12,0.157894737,260,172,6.8,20.4,0,0,0,0,0,6.717177205,105,25
1767868296,2.986842105,0.973684211,0.052631579,2.902,0,74.16,0,12,0.157894737,263,172,6.6,20.4,0,0,0,0,0,6.51961317,105,25
1767868297,3,0.973684211,0.078947368,2.902,0,77.06,0,12.125,0.159539474,261,172,6.6,20.4,0,0,0,0,0,6.51961317,106,25
1767868298,2.921052632,0.960526316,0.078947368,2.855,0,80.54,0,12,0.157894737,261,174,6.5,20.2,0,0,0,0,0,6.60247034,105,25
1767868299,2.921052632,0.960526316,0.105263158,2.855,0,82.88,0,12,0.157894737,261,174,6.4,20.2,0,0,0,0,0,6.500893873,105,25
1767868300,2.986842105,0.947368421,0.118421053,2.855,0,85.78,0,11.875,0.15625,259,174,6.4,20.4,0,0,0,0,0,6.500893873,106,25
1767868301,3.131578947,0.947368421,0.118421053,2.855,0,88.59,0,11.875,0.15625,261,174,6.4,20.4,0,0,0,0,0,6.500893873,106,25
1767868302,3.302631579,0.947368421,0.131578947,2.846,0,91.87,0,11.875,0.15625,256,174,6.6,20.6,0,0,0,0,0,6.725223665,106,25
1767868303,3.394736842,0.973684211,0.131578947,2.855,0,95.14,0,11.25,0.148026316,256,174,6.7,20.8,0,0,0,0,0,6.805623273,106,25
1767868304,3.394736842,0.973684211,0.131578947,2.911,0,97.58,0,11.875,0.15625,255,172,6.8,20.6,0,0,0,0,0,6.69640659,106,25
1767868305,3.342105263,0.973684211,0.144736842,2.911,0,100.98,0,11.875,0.15625,257,172,6.9,20.6,0,0,0,0,0,6.794883158,107,25
1767868306,3.092105263,0.973684211,0.144736842,2.939,0,103.57,0,12.25,0.161184211,263,170,6.8,20.6,0,0,0,0,0,6.555543773,107,25
1767868307,3.065789474,0.973684211,0.144736842,2.911,0,106.27,0,12.25,0.161184211,265,172,6.7,20.4,0,0,0,0,0,6.597930023,107,25
1767868308,3.065789474,0.973684211,0.171052632,2.911,0,108.48,0,11.75,0.154605263,265,172,6.6,20.4,0,0,0,0,0,6.499453455,108,25
1767868309,3.105263158,0.960526316,0.171052632,2.902,0,111.05,0,11.75,0.154605263,263,172,6.5,20.6,0,0,0,0,0,6.420831152,108,25
1767868310,3.131578947,0.960526316,0.184210526,2.865,0,113.68,0,11.75,0.154605263,261,172,6.6,20.4,0,0,0,0,0,6.603830222,109,25
1767868311,3.157894737,0.947368421,0.184210526,2.846,0,116.33,0,11.75,0.154605263,258,172,6.7,20.4,0,0,0,0,0,6.748657823,110,25
1767868312,3.210526316,0.960526316,0.184210526,2.837,0,119.2,0,11.875,0.15625,257,174,6.6,20.6,0,0,0,0,0,6.746534734,111,25
1767868313,3.236842105,0.960526316,0.171052632,2.827,0,121.91,0,11.875,0.15625,259,174,6.6,20.6,0,0,0,0,0,6.770411251,112,25
1767868314,3.25,0.947368421,0.184210526,2.827,0,124.82,0,12.125,0.159539474,259,172,6.6,20.6,0,0,0,0,0,6.692625943,112,25
1767868315,3.223684211,0.947368421,0.184210526,2.827,0,127.22,0,12.125,0.159539474,262,172,6.6,20.8,0,0,0,0,0,6.692625943,113,25
1767868316,3.210526316,0.947368421,0.197368421,2.818,0,130.34,0,12.125,0.159539474,261,174,6.6,20.8,0,0,0,0,0,6.792080023,113,25
1767868317,3.184210526,0.960526316,0.157894737,2.818,0,133.31,0,11.375,0.149671053,257,174,6.6,21,0,0,0,0,0,6.792080023,114,25
1767868318,3.210526316,0.960526316,0.157894737,2.818,0,136.77,0,11.5,0.151315789,255,174,6.5,21,0,0,0,0,0,6.68916972,114,25
1767868319,3.197368421,0.960526316,0.118421053,2.827,0,139.57001,0,11.5,0.151315789,257,174,6.5,21.2,0,0,0,0,0,6.667829263,115,25
1767868320,3.25,0.973684211,0.092105263,2.846,0,142.24001,0,11.625,0.152960526,258,174,6.4,21.2,0,0,0,0,0,6.521429008,115,25
1767868321,3.289473684,0.960526316,0.092105263,2.846,0,145.06,0,11.5,0.151315789,260,174,6.4,21.2,0,0,0,0,0,6.521429008,116,25
1767868322,3.328947368,0.960526316,0.092105263,2.837,0,148.17,0,11.5,0.151315789,259,174,6.5,21.4,0,0,0,0,0,6.644314511,117,25
1767868323,3.289473684,0.960526316,0.092105263,2.837,0,150.87,0,11.25,0.148026316,257,172,6.7,21.4,0,0,0,0,0,6.770070227,117,25
1767868324,3.263157895,0.973684211,0.092105263,2.846,0,153.42999,0,11.375,0.149671053,258,170,7,21.6,0,0,0,0,0,6.968849244,118,25
1767868325,3.197368421,0.973684211,0.092105263,2.846,0,156.71001,0,11.375,0.149671053,258,170,7.1,21.6,0,0,0,0,0,7.068404233,119,25
1767868326,3.105263158,0.986842105,0.092105263,2.846,0,158.97,0,11.75,0.154605263,259,170,7,21.6,0,0,0,0,0,6.968849244,119,25
1767868327,3.092105263,0.986842105,0.092105263,2.837,0,161.74001,0,11.75,0.154605263,260,170,6.9,21.6,0,0,0,0,0,6.891110467,119,25
1767868328,3.092105263,0.986842105,0.078947368,2.837,0,163.95,0,11.75,0.154605263,259,172,6.7,21.4,0,0,0,0,0,6.770070227,120,25
1767868329,3.105263158,0.973684211,0.078947368,2.837,0,166.47,0,11.625,0.152960526,254,174,6.7,21.4,0,0,0,0,0,6.848754958,120,25
1767868330,3.118421053,0.960526316,0.078947368,2.818,0,169.53,0,11.75,0.154605263,252,174,6.7,21.4,0,0,0,0,0,6.894990326,121,25
1767868331,3.118421053,0.960526316,0.078947368,2.818,0,172.05,0,11.75,0.154605263,252,176,6.6,21.2,0,0,0,0,0,6.870133655,121,25
1767868332,3.144736842,0.960526316,0.078947368,2.809,0,175.19,0,12.25,0.161184211,253,176,6.5,21.2,0,0,0,0,0,6.787731958,122,25
1767868333,3.144736842,0.960526316,0.131578947,2.818,0,178.39999,0,12.25,0.161184211,256,176,6.3,21.2,0,0,0,0,0,6.557854853,123,25
1767868334,3.157894737,0.960526316,0.131578947,2.818,0,181.66,0,11.75,0.154605263,255,176,6.4,21.2,0,0,0,0,0,6.661947787,124,25
1767868335,3.131578947,0.947368421,0.131578947,2.827,0,184.28999,0,11.375,0.149671053,253,176,6.4,21,0,0,0,0,0,6.640726329,125,24
