Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1749975940,3.039473684,0.934210526,0.013157895,3.051,0,3.05,0,11,0.144736842,262,172,6.25,5,0,0,0,0,0,5.872404397,95,31
1749975941,3.552631579,0.934210526,0.039473684,3.191,0,6.24,0,11,0.144736842,246,180,6.12,5.2,0,0,0,0,0,5.7536642,95,31
1749975942,3.75,0.973684211,0.065789474,3.322,0,9.56,0,11.125,0.146381579,242,180,6.12,5.2,0,0,0,0,0,5.526807727,96,31
1749975943,4,0.986842105,0.065789474,3.471,0,13.03,0,10.75,0.141447368,236,182,6.37,5.2,0,0,0,0,0,5.566770661,97,31
1749975944,3.960526316,0.986842105,0.078947368,3.555,0,16.59,0,10.75,0.141447368,232,182,6.5,5.2,0,0,0,0,0,5.54616973,98,31
1749975945,3.881578947,1,0.078947368,3.592,0,20.18,0,11.125,0.146381579,232,182,6.37,5.2,0,0,0,0,0,5.379249776,99,31
1749975946,3.894736842,1,0.078947368,3.63,0,23.81,0,10.875,0.143092105,230,182,6.37,5.2,0,0,0,0,0,5.322971505,100,31
1749975947,3.868421053,1,0.052631579,3.648,0,27.46,0,10.875,0.143092105,230,182,6.5,5.2,0,0,0,0,0,5.404776159,100,31
1749975948,3.907894737,1,0.052631579,3.658,0,31.12,0,10.875,0.143092105,230,180,6.62,5.2,0,0,0,0,0,5.429211124,100,31
1749975949,3.934210526,1.026315789,0.052631579,3.648,0,34.77,0,10.875,0.143092105,230,180,6.62,5.4,0,0,0,0,0,5.444078947,101,31
1749975950,4.026315789,1.026315789,0.039473684,3.62,0,38.39,0,10.875,0.143092105,230,180,6.75,5.4,0,0,0,0,0,5.593907199,102,31
1749975951,4.118421053,1.026315789,0.052631579,3.602,0,41.99,0,10.875,0.143092105,232,180,6.62,5.6,0,0,0,0,0,5.513588247,103,31
1749975952,4.25,1.013157895,0.052631579,3.583,0,45.57,0,10.625,0.139802632,230,180,6.62,5.6,0,0,0,0,0,5.542856664,104,31
1749975953,4.276315789,1.013157895,0.052631579,3.592,0,49.16,0,10.625,0.139802632,232,182,6.5,5.6,0,0,0,0,0,5.489030384,105,31
1749975954,4.263157895,1.013157895,0.052631579,3.639,0,52.8,0,10.625,0.139802632,232,182,6.37,5.8,0,0,0,0,0,5.309793527,106,31
1749975955,4.210526316,1,0.052631579,3.658,0,56.46,0,10.5,0.138157895,232,184,6.25,5.8,0,0,0,0,0,5.239640183,107,31
1749975956,4.171052632,1,0.052631579,3.695,0,60.15,0,10.5,0.138157895,230,184,6.25,5.8,0,0,0,0,0,5.187195512,107,31
1749975957,4.039473684,1,0.039473684,3.704,0,63.86,0,10.375,0.136513158,232,182,6.25,5.8,0,0,0,0,0,5.118335927,108,30
1749975958,4,1,0.039473684,3.723,0,67.58,0,10.125,0.133223684,230,182,6.37,5.6,0,0,0,0,0,5.190001304,109,31
1749975959,3.868421053,1,0.039473684,3.704,0,71.29,0,10.125,0.133223684,232,180,6.5,5.6,0,0,0,0,0,5.264564621,110,30
1749975960,3.855263158,1.013157895,0.039473684,3.686,0,74.97,0,10.25,0.134868421,232,180,6.62,5.8,0,0,0,0,0,5.387939805,111,30
1749975961,3.842105263,1.013157895,0.052631579,3.63,0,78.61,0,10.25,0.134868421,234,178,6.62,5.8,0,0,0,0,0,5.410264792,112,30
1749975962,3.828947368,1.013157895,0.065789474,3.574,0,82.18,0,10.5,0.138157895,234,178,6.75,5.8,0,0,0,0,0,5.602961684,112,30
1749975963,3.868421053,1.013157895,0.065789474,3.564,0,85.74,0,10.625,0.139802632,236,178,6.75,5.8,0,0,0,0,0,5.618678986,113,30
1749975964,3.907894737,1.013157895,0.052631579,3.546,0,89.29,0,10.625,0.139802632,236,178,6.75,6,0,0,0,0,0,5.647212369,114,30
