Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1763195522,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,0,0,122,17
1763195523,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,0,0,122,17
1763195524,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,0,0,122,17
1763195525,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,0,0,121,17
1763195526,1.802631579,0,0,1.745,0,1.74,0,0,0,0,188,0,11.4,0,0,0,0,0,0,121,17
1763195527,2.526315789,0.657894737,0.026315789,2.193,0,3.94,0,0,0,592,182,16.37,11.4,0,0,0,0,0,22.64270993,121,17
1763195528,2.828947368,0.802631579,0.026315789,2.585,0,6.52,0,6.625,0.087171053,486,186,12.62,11.6,0,0,0,0,0,15.13425354,120,17
1763195529,2.921052632,0.802631579,0.052631579,2.715,0,9.24,0,6.625,0.087171053,396,188,9.37,11.6,0,0,0,0,0,10.8137428,120,17
1763195530,3.052631579,0.815789474,0.039473684,2.958,0,12.2,0,7.5,0.098684211,354,186,8.37,11.6,0,0,0,0,0,8.771837894,121,17
1763195531,3.736842105,0.868421053,0.039473684,3.06,0,15.26,0,8.125,0.106907895,340,186,8.12,11.6,0,0,0,0,0,8.226116908,121,17
1763195532,4.065789474,0.868421053,0.039473684,3.583,0,18.84,0,8.125,0.106907895,248,188,5.5,11.6,0,0,0,0,0,4.809752429,122,17
1763195533,4.526315789,0.934210526,0.039473684,3.919,0,22.76,0,9.25,0.121710526,236,190,5.62,11.6,0,0,0,0,0,4.541120574,122,17
1763195534,4.631578947,0.934210526,0.039473684,4.003,0,26.76,0,9.25,0.121710526,230,188,5.87,11.8,0,0,0,0,0,4.594732104,122,17
1763195535,4.75,0.934210526,0.039473684,4.189,0,30.95,0,9.25,0.121710526,220,188,6.12,11.8,0,0,0,0,0,4.577720265,122,17
1763195536,4.736842105,0.986842105,0.026315789,4.199,0,35.15,0,9.5,0.125,218,188,6.12,12,0,0,0,0,0,4.566789293,121,17
1763195537,4.684210526,0.986842105,0.026315789,4.227,0,39.38,0,9.5,0.125,218,188,6.12,12.2,0,0,0,0,0,4.536559331,122,17
1763195538,4.460526316,0.986842105,0.026315789,4.059,0,43.44,0,9.5,0.125,216,188,6.12,12.2,0,0,0,0,0,4.724300039,122,17
1763195539,4.368421053,0.986842105,0.026315789,3.975,0,47.41,0,10.375,0.136513158,218,186,6.37,12.4,0,0,0,0,0,4.967791244,122,17
1763195540,4.355263158,0.986842105,0.026315789,3.751,0,51.16,0,10.375,0.136513158,222,184,6.37,12.4,0,0,0,0,0,5.207864939,122,17
1763195541,4.328947368,0.986842105,0.013157895,3.602,0,54.76,0,10.375,0.136513158,230,182,6.37,12.6,0,0,0,0,0,5.364346047,123,17
1763195542,4.105263158,0.973684211,0.026315789,3.359,0,58.12,0,10.875,0.143092105,234,182,6.37,12.8,0,0,0,0,0,5.75242017,122,17
1763195543,4.078947368,0.960526316,0.026315789,3.322,0,61.44,0,11,0.144736842,240,180,6.25,13,0,0,0,0,0,5.644207237,122,17
1763195544,4.210526316,0.960526316,0.039473684,3.368,0,64.81,0,11,0.144736842,246,180,6.12,13.2,0,0,0,0,0,5.451290228,123,17
1763195545,4.328947368,0.960526316,0.039473684,3.424,0,68.24,0,10.375,0.136513158,246,180,6,13.4,0,0,0,0,0,5.257024699,122,17
