Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1758969608,1.434210526,0,0,1.624,0,1.75,0,0,0,666,130,0,26.4,0,0,0,0,0,0,103,22
1758969609,2.105263158,0.842105263,0.039473684,2.006,0,3.75,0,0,0,432,146,5.87,26.2,0,0,0,0,0,7.120502681,104,22
1758969610,2.355263158,0.921052632,0.052631579,2.538,0,6.1,0,8.125,0.106907895,388,148,6.37,26,0,0,0,0,0,6.190957509,104,22
1758969611,2.486842105,0.921052632,0.052631579,2.883,0,8.98,0,8.125,0.106907895,362,152,6.25,25.6,0,0,0,0,0,5.491946609,104,22
1758969612,2.710526316,0.947368421,0.052631579,2.995,0,11.98,0,8.5,0.111842105,342,156,6.25,25.4,0,0,0,0,0,5.425724009,105,22
1758969613,2.815789474,0.973684211,0.052631579,3.406,0,15.38,0,8.625,0.113486842,314,160,6.37,25.4,0,0,0,0,0,4.987277354,106,22
1758969614,3.157894737,0.973684211,0.039473684,3.648,0,19.03,0,8.625,0.113486842,248,178,6.12,25.2,0,0,0,0,0,4.976985508,106,22
1758969615,3.342105263,1,0.052631579,3.835,0,22.86,0,8.75,0.115131579,242,180,6.25,25.2,0,0,0,0,0,4.889191367,107,22
1758969616,3.473684211,1,0.052631579,3.816,0,26.68,0,8.75,0.115131579,238,180,6.37,25,0,0,0,0,0,5.007861635,109,22
1758969617,3.526315789,1,0.039473684,3.76,0,30.44,0,8.75,0.115131579,238,180,6.25,25,0,0,0,0,0,4.98671539,110,23
1758969618,3.565789474,1,0.039473684,3.686,0,34.13,0,8.75,0.115131579,240,180,6.37,24.8,0,0,0,0,0,5.184467758,111,22
1758969619,3.552631579,1,0.039473684,3.583,0,37.71,0,9.625,0.126644737,240,180,6.25,24.8,0,0,0,0,0,5.23305954,112,22
1758969620,3.513157895,1,0.039473684,3.546,0,41.25,0,9.625,0.126644737,246,180,6.12,24.8,0,0,0,0,0,5.177664975,112,22
1758969621,3.526315789,0.986842105,0.039473684,3.49,0,44.74,0,9.625,0.126644737,250,180,6,24.8,0,0,0,0,0,5.157607901,113,22
1758969622,3.539473684,0.973684211,0.039473684,3.49,0,48.23,0,9.625,0.126644737,250,180,6,24.8,0,0,0,0,0,5.157607901,114,22
1758969623,3.578947368,0.973684211,0.039473684,3.527,0,51.76,0,9.625,0.126644737,252,180,5.87,24.8,0,0,0,0,0,4.992897667,114,22
1758969624,3.631578947,0.973684211,0.039473684,3.555,0,55.32,0,9.25,0.121710526,250,180,6,24.8,0,0,0,0,0,5.063291139,115,22
1758969625,3.644736842,0.973684211,0.039473684,3.62,0,58.94,0,9.375,0.123355263,248,182,5.75,24.8,0,0,0,0,0,4.81812621,115,22
