Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1761913868,0,0,0,0,0,0,0,0,0,0,0,0,17.8,0,0,0,0,0,0,118,22
1761913869,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,119,22
1761913870,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,119,22
1761913871,0,0,0,2.277,0,2.28,0,0,0,0,0,0,18,0,0,0,0,0,0,119,22
1761913872,2.263157895,0,0,2.65,0,4.93,0,0,0,278,180,5.25,18,0,0,0,0,0,5.943418654,120,22
1761913873,2.657894737,0.881578947,0,3.256,0,8.18,0,10,0.131578947,250,186,5.37,18,0,0,0,0,0,5.11272755,120,22
1761913874,3.197368421,0.881578947,0.065789474,3.574,0,11.76,0,10,0.131578947,244,186,5.62,17.8,0,0,0,0,0,4.874663891,121,22
1761913875,3.513157895,0.921052632,0.092105263,3.695,0,15.45,0,9.5,0.125,236,188,5.62,17.8,0,0,0,0,0,4.765700524,120,22
1761913876,3.671052632,0.947368421,0.078947368,3.863,0,19.31,0,9.25,0.121710526,232,188,5.75,18,0,0,0,0,0,4.663914281,120,22
1761913877,4.065789474,0.960526316,0.078947368,4.152,0,23.47,0,9.25,0.121710526,220,192,5.62,18,0,0,0,0,0,4.331406551,120,22
1761913878,4.486842105,0.960526316,0.065789474,4.469,0,27.93,0,9.25,0.121710526,216,192,5.75,18,0,0,0,0,0,4.117259552,121,22
1761913879,4.552631579,0.986842105,0.065789474,4.535,0,32.47,0,9.375,0.123355263,210,192,6,18,0,0,0,0,0,4.233730128,121,22
1761913880,4.565789474,0.986842105,0.065789474,4.525,0,37,0,9.375,0.123355263,206,192,6,17.8,0,0,0,0,0,4.243101424,121,22
1761913881,4.539473684,1,0.052631579,4.516,0,41.51,0,9.625,0.126644737,206,192,6,17.8,0,0,0,0,0,4.251550044,122,22
1761913882,4.539473684,0.986842105,0.052631579,4.497,0,46.01,0,10.125,0.133223684,204,194,6,17.8,0,0,0,0,0,4.314001812,122,22
1761913883,4.421052632,0.986842105,0.065789474,4.339,0,50.35,0,10.125,0.133223684,206,194,6,17.8,0,0,0,0,0,4.471072163,123,22
1761913884,4.328947368,0.973684211,0.092105263,4.245,0,54.6,0,10.5,0.138157895,208,192,6,17.8,0,0,0,0,0,4.522976722,123,22
1761913885,4.25,0.973684211,0.092105263,4.217,0,58.81,0,10.625,0.139802632,212,192,5.87,17.8,0,0,0,0,0,4.454359885,123,22
1761913886,4.236842105,0.973684211,0.078947368,4.171,0,62.98,0,10.625,0.139802632,214,192,5.87,17.8,0,0,0,0,0,4.503467747,123,22
1761913887,4.197368421,0.960526316,0.065789474,4.161,0,67.15,0,10.25,0.134868421,214,192,5.87,17.8,0,0,0,0,0,4.514308127,124,22
1761913888,4.197368421,0.960526316,0.065789474,4.161,0,71.3,0,10.125,0.133223684,216,190,6,17.8,0,0,0,0,0,4.566210046,124,22
1761913889,4.236842105,0.960526316,0.065789474,4.18,0,75.48,0,10.125,0.133223684,216,190,6,17.8,0,0,0,0,0,4.545454545,124,22
1761913890,4.315789474,0.973684211,0.065789474,4.208,0,79.7,0,10,0.131578947,218,190,6,17.8,0,0,0,0,0,4.515216279,124,22
1761913891,4.315789474,0.973684211,0.065789474,4.152,0,83.85,0,9.75,0.128289474,218,190,6,17.8,0,0,0,0,0,4.576100552,127,22
1761913892,4.197368421,0.973684211,0.078947368,4.143,0,87.99,0,9.75,0.128289474,218,190,6,18,0,0,0,0,0,4.586033998,129,22
1761913893,4.171052632,0.973684211,0.092105263,4.087,0,92.07,0,9.875,0.129934211,220,190,6,18,0,0,0,0,0,4.648892401,132,22
1761913894,4.118421053,0.973684211,0.092105263,4.078,0,96.15,0,10,0.131578947,222,190,6,18.2,0,0,0,0,0,4.659144736,133,22
1761913895,4.026315789,0.973684211,0.092105263,4.068,0,100.22,0,10,0.131578947,220,188,6,18.2,0,0,0,0,0,4.621428021,135,22
1761913896,4,0.973684211,0.065789474,4.05,0,104.27,0,9.875,0.129934211,220,188,6,18.2,0,0,0,0,0,4.64198677,137,22
1761913897,3.973684211,0.973684211,0.065789474,4.05,0,108.32,0,10.125,0.133223684,220,188,6,18.2,0,0,0,0,0,4.64198677,139,22
1761913898,4.026315789,0.973684211,0.039473684,4.078,0,112.4,0,10.125,0.133223684,218,188,6.12,18.4,0,0,0,0,0,4.702302745,140,22
1761913899,4.131578947,0.986842105,0.026315789,4.031,0,116.43,0,10.25,0.134868421,220,188,6.12,18.4,0,0,0,0,0,4.757129865,142,22
1761913900,4.118421053,0.973684211,0.026315789,3.854,0,120.28,0,10.375,0.136513158,220,188,6.12,18.6,0,0,0,0,0,4.975609756,143,22
1761913901,4.039473684,0.973684211,0.026315789,3.807,0,124.09,0,10.375,0.136513158,222,188,6,18.6,0,0,0,0,0,4.938271605,144,22
1761913902,4.013157895,0.973684211,0.026315789,3.732,0,127.82,0,10.5,0.138157895,226,188,5.87,18.6,0,0,0,0,0,4.928383121,145,22
1761913903,3.960526316,0.973684211,0.026315789,3.704,0,131.53,0,10.5,0.138157895,228,188,5.75,18.6,0,0,0,0,0,4.864101241,147,22
