Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1760184012,2.263157895,0.802631579,0.013157895,2.09,0,2.13,0,11.125,0.146381579,378,162,4.5,33.4,0,0,0,0,0,5.813427726,109,28
1760184013,2.210526316,0.802631579,0.026315789,2.193,0,4.3,0,11.125,0.146381579,284,186,4.5,33.6,0,0,0,0,0,6.361143309,110,28
1760184014,2.644736842,0.815789474,0.026315789,2.342,0,6.62,0,13.5,0.177631579,274,190,4.37,33.8,0,0,0,0,0,5.908759025,111,28
1760184015,3,0.815789474,0.026315789,2.417,0,9.04,0,13.5,0.177631579,266,192,4.5,33.8,0,0,0,0,0,5.957818644,113,28
1760184016,3.276315789,0.828947368,0.026315789,2.519,0,11.56,0,13.875,0.182565789,262,192,4.5,34,0,0,0,0,0,5.716536033,113,28
1760184017,3.421052632,0.855263158,0.026315789,2.566,0,14.12,0,13.75,0.180921053,256,192,4.75,34.2,0,0,0,0,0,5.92365346,113,28
1760184018,4.052631579,0.855263158,0.039473684,2.799,0,16.92,0,13.75,0.180921053,254,188,5.25,34.6,0,0,0,0,0,5.877084966,113,28
1760184019,4.368421053,0.907894737,0.052631579,3.004,0,19.93,0,12.375,0.162828947,248,184,5.62,34.8,0,0,0,0,0,5.737211225,112,28
1760184021,4.842105263,0.960526316,0.065789474,3.331,0,26.5,0,10.875,0.143092105,244,182,6.12,35.2,0,0,0,0,0,5.573110652,112,28
1760184022,4.763157895,0.960526316,0.065789474,3.452,0,29.95,0,10.375,0.136513158,244,182,6,35.4,0,0,0,0,0,5.272315074,113,28
1760184023,4.697368421,0.973684211,0.065789474,3.48,0,33.43,0,10.125,0.133223684,242,182,6.12,35.6,0,0,0,0,0,5.334495533,114,28
1760184024,4.407894737,0.973684211,0.078947368,3.546,0,36.97,0,10.125,0.133223684,240,182,6,35.6,0,0,0,0,0,5.132548053,115,28
1760184025,4.315789474,0.960526316,0.065789474,3.574,0,40.55,0,10.125,0.133223684,240,182,6,35.8,0,0,0,0,0,5.092341119,116,28
1760184027,4.144736842,0.947368421,0.065789474,3.648,0,47.9,0,10,0.131578947,236,186,5.87,36,0,0,0,0,0,4.988230495,118,28
1760184028,4.105263158,0.960526316,0.052631579,3.686,0,51.48,0,10.25,0.134868421,232,184,6.12,36.2,0,0,0,0,0,5.091683583,118,28
1760184029,4.118421053,0.960526316,0.052631579,3.695,0,55.18,0,10.375,0.136513158,232,184,6,36.2,0,0,0,0,0,4.979707691,119,28
1760184030,4.144736842,0.960526316,0.052631579,3.714,0,58.89,0,10.375,0.136513158,232,184,6.12,36,0,0,0,0,0,5.053299094,120,28
1760184031,4.118421053,0.973684211,0.052631579,3.714,0,62.6,0,10.25,0.134868421,232,184,6.25,36,0,0,0,0,0,5.160640415,121,28
1760184032,4.118421053,0.973684211,0.052631579,3.751,0,66.36,0,10.25,0.134868421,232,182,6.37,36.2,0,0,0,0,0,5.151262747,122,28
1760184033,4.105263158,0.986842105,0.052631579,3.76,0,70.12,0,10.125,0.133223684,232,182,6.37,36.2,0,0,0,0,0,5.138920262,123,28
1760184034,3.986842105,0.986842105,0.052631579,3.742,0,73.86,0,10.125,0.133223684,232,182,6.37,36.2,0,0,0,0,0,5.163622804,124,28
1760184035,3.973684211,0.973684211,0.052631579,3.742,0,77.6,0,9.875,0.129934211,234,182,6.25,36.4,0,0,0,0,0,5.066348905,124,27
1760184036,3.881578947,0.973684211,0.052631579,3.723,0,81.32,0,10,0.131578947,234,182,6.25,36.4,0,0,0,0,0,5.092230478,125,27
1760184037,3.881578947,0.973684211,0.052631579,3.695,0,85.02,0,10,0.131578947,236,182,6.37,36.6,0,0,0,0,0,5.229326919,126,27
1760184038,3.868421053,0.973684211,0.039473684,3.676,0,88.69,0,10,0.131578947,236,182,6.37,36.6,0,0,0,0,0,5.256339376,126,27
1760184039,3.842105263,0.973684211,0.039473684,3.676,0,92.37,0,9.875,0.129934211,236,182,6.25,36.8,0,0,0,0,0,5.157318854,127,27
1760184040,3.868421053,0.973684211,0.039473684,3.723,0,96.09,0,9.875,0.129934211,236,182,6.25,36.8,0,0,0,0,0,5.092230478,127,27
1760184041,3.907894737,0.973684211,0.039473684,3.76,0,99.85,0,9.875,0.129934211,234,182,6.25,36.8,0,0,0,0,0,5.042111717,128,27
1760184042,3.921052632,0.973684211,0.039473684,3.76,0,103.61,0,9.875,0.129934211,232,182,6.37,37,0,0,0,0,0,5.138920262,129,27
1760184043,3.947368421,0.973684211,0.039473684,3.844,0,107.46,0,9.875,0.129934211,234,184,6.25,37,0,0,0,0,0,4.986118646,129,27
1760184044,3.960526316,0.973684211,0.026315789,3.863,0,111.32,0,9.625,0.126644737,232,184,6.12,37,0,0,0,0,0,4.858415299,130,27
1760184046,3.986842105,0.973684211,0.039473684,3.844,0,119.05,0,9.625,0.126644737,232,184,6.25,37.2,0,0,0,0,0,4.986118646,131,27
1760184047,4.013157895,0.973684211,0.039473684,3.854,0,122.9,0,9.625,0.126644737,234,184,6.12,37.4,0,0,0,0,0,4.869742349,131,27
1760184048,4.052631579,0.973684211,0.026315789,3.891,0,126.79,0,9.625,0.126644737,232,184,6.12,37.4,0,0,0,0,0,4.823455233,132,27
1760184049,4.171052632,0.960526316,0.026315789,3.91,0,130.7,0,9.375,0.123355263,232,184,6.12,37.6,0,0,0,0,0,4.8,132,27
1760184050,4.289473684,0.960526316,0.026315789,3.938,0,134.64,0,9.375,0.123355263,230,186,6.12,37.6,0,0,0,0,0,4.817683733,133,27
1760184051,4.328947368,0.960526316,0.026315789,3.919,0,138.56,0,9.375,0.123355263,230,186,6,37.6,0,0,0,0,0,4.746122023,133,27
1760184052,4.381578947,0.960526316,0.026315789,3.919,0,142.48,0,9.375,0.123355263,228,186,6,37.8,0,0,0,0,0,4.746122023,134,27
1760184053,4.368421053,0.960526316,0.026315789,3.919,0,146.39,0,9.75,0.128289474,228,186,6,37.8,0,0,0,0,0,4.746122023,134,27
1760184054,4.25,0.960526316,0.039473684,3.863,0,150.25999,0,9.75,0.128289474,228,184,6.12,38,0,0,0,0,0,4.858415299,135,27
1760184055,4.210526316,0.973684211,0.039473684,3.835,0,154.09,0,9.875,0.129934211,228,184,6.12,38,0,0,0,0,0,4.893885841,135,27
1760184056,4,0.960526316,0.039473684,3.76,0,157.85001,0,10.125,0.133223684,228,184,6.25,38,0,0,0,0,0,5.097505077,136,27
1760184057,3.934210526,0.960526316,0.039473684,3.723,0,161.58,0,10.125,0.133223684,230,184,6.25,38,0,0,0,0,0,5.148185368,136,27
1760184058,3.881578947,0.960526316,0.039473684,3.704,0,165.28,0,10.5,0.138157895,230,184,6.25,37.8,0,0,0,0,0,5.174569269,137,27
1760184059,3.907894737,0.960526316,0.039473684,3.723,0,169.00999,0,10.5,0.138157895,230,184,6.25,37.8,0,0,0,0,0,5.148185368,137,27
1760184060,3.934210526,0.960526316,0.039473684,3.742,0,172.74001,0,10.5,0.138157895,230,184,6.37,37.8,0,0,0,0,0,5.220370097,137,27
1760184061,3.973684211,0.973684211,0.065789474,3.742,0,176.49001,0,10.5,0.138157895,228,184,6.37,37.8,0,0,0,0,0,5.220370097,138,27
1760184062,4.052631579,0.973684211,0.065789474,3.751,0,180.24001,0,10.375,0.136513158,230,182,6.37,37.8,0,0,0,0,0,5.151262747,138,27
1760184063,4.131578947,0.973684211,0.065789474,3.779,0,184.02,0,10.375,0.136513158,228,184,6.37,37.8,0,0,0,0,0,5.169279709,138,27
