# Athlete data synced from intervals.icu on 2026-02-26 10:19,,,
# Weight: intervals.icu (2023+) + legacy CSV (pre-2023),,,
# Non-running TSS: (calories - 80/hr * elapsed_hours) / 10,,,
date,weight_kg,garmin_tr,non_running_tss
18/04/2013,,,22.46222222
19/04/2013,,,11.35333333
20/04/2013,83.9,,
21/04/2013,83.6,,
22/04/2013,83.4,,
23/04/2013,83.3,,
24/04/2013,83.1,,
25/04/2013,82.9,,
26/04/2013,82.6,,
27/04/2013,82.5,,
28/04/2013,82.5,,
29/04/2013,82.4,,
30/04/2013,82.2,,
01/05/2013,82.1,,
02/05/2013,81.9,,
03/05/2013,81.8,,
04/05/2013,81.9,,
05/05/2013,81.9,,
06/05/2013,81.9,,
07/05/2013,81.9,,
08/05/2013,81.9,,
09/05/2013,81.9,,
10/05/2013,81.9,,
11/05/2013,81.8,,
12/05/2013,81.8,,
13/05/2013,81.7,,
14/05/2013,81.6,,
15/05/2013,81.6,,
16/05/2013,81.6,,
17/05/2013,81.5,,
18/05/2013,81.4,,
19/05/2013,81.4,,
20/05/2013,81.3,,
21/05/2013,81.3,,
22/05/2013,81.3,,
23/05/2013,81.2,,
24/05/2013,81.2,,
25/05/2013,81.1,,
26/05/2013,81.2,,
27/05/2013,81.2,,
28/05/2013,81.1,,
29/05/2013,81.1,,
30/05/2013,81,,
31/05/2013,81,,
01/06/2013,80.9,,
02/06/2013,80.9,,
03/06/2013,80.7,,
04/06/2013,80.6,,
05/06/2013,80.6,,
06/06/2013,80.6,,
07/06/2013,80.5,,
08/06/2013,80.4,,
09/06/2013,80.4,,
10/06/2013,80.3,,
11/06/2013,80.2,,
12/06/2013,80.1,,
13/06/2013,80,,
14/06/2013,79.9,,
15/06/2013,79.7,,
16/06/2013,79.6,,
17/06/2013,79.7,,
18/06/2013,79.8,,
19/06/2013,79.9,,
20/06/2013,80,,
21/06/2013,80.1,,
22/06/2013,80.2,,55.96888889
23/06/2013,80.2,,
24/06/2013,80.2,,
25/06/2013,80.1,,
26/06/2013,80.1,,
27/06/2013,80,,
28/06/2013,80,,
29/06/2013,79.9,,
30/06/2013,80,,
01/07/2013,80.2,,
02/07/2013,80.2,,
03/07/2013,80.4,,
04/07/2013,80.5,,
05/07/2013,80.5,,
06/07/2013,80.6,,
07/07/2013,80.5,,
08/07/2013,80.4,,
09/07/2013,80.4,,
10/07/2013,80.3,,
11/07/2013,80.2,,
12/07/2013,80.2,,
13/07/2013,80.3,,
14/07/2013,80.4,,
15/07/2013,80.4,,
16/07/2013,80.5,,
17/07/2013,80.6,,
18/07/2013,80.6,,
19/07/2013,80.7,,54.54444444
20/07/2013,80.6,,
21/07/2013,80.6,,
22/07/2013,80.4,,
23/07/2013,80.3,,
24/07/2013,80.2,,
25/07/2013,80.2,,
26/07/2013,80.2,,
27/07/2013,80.2,,
28/07/2013,80.3,,
29/07/2013,80.4,,
30/07/2013,80.5,,
31/07/2013,80.5,,77.16666667
01/08/2013,80.6,,
02/08/2013,80.6,,
03/08/2013,80.6,,
04/08/2013,80.5,,
05/08/2013,80.5,,
06/08/2013,80.5,,
07/08/2013,80.5,,
08/08/2013,80.5,,
09/08/2013,80.5,,
10/08/2013,80.5,,77.87111111
11/08/2013,80.5,,
12/08/2013,80.3,,
13/08/2013,80.2,,
14/08/2013,80.1,,
15/08/2013,80,,
16/08/2013,80,,
17/08/2013,80,,
18/08/2013,80,,
19/08/2013,80.1,,
20/08/2013,80.2,,
21/08/2013,80.2,,
22/08/2013,80.4,,66.88888889
23/08/2013,80.5,,
24/08/2013,80.7,,
25/08/2013,80.9,,
26/08/2013,81.1,,
27/08/2013,81.2,,
28/08/2013,81.4,,60.04666667
29/08/2013,81.4,,
30/08/2013,81.6,,54.21777778
31/08/2013,81.6,,
01/09/2013,81.6,,
02/09/2013,81.6,,
03/09/2013,81.5,,
04/09/2013,81.4,,
05/09/2013,81.3,,
06/09/2013,81.1,,
07/09/2013,80.8,,
08/09/2013,80.5,,
09/09/2013,80.3,,
10/09/2013,80.2,,
11/09/2013,80.2,,
12/09/2013,80,,
13/09/2013,80.1,,
14/09/2013,80.1,,
15/09/2013,80.3,,
16/09/2013,80.3,,
17/09/2013,80.4,,
18/09/2013,80.6,,
19/09/2013,80.7,,
20/09/2013,80.6,,
21/09/2013,80.7,,
22/09/2013,80.5,,
23/09/2013,80.4,,
24/09/2013,80.2,,
25/09/2013,80,,
26/09/2013,79.8,,
27/09/2013,79.6,,
28/09/2013,79.5,,
29/09/2013,79.4,,
30/09/2013,79.5,,
01/10/2013,79.6,,
02/10/2013,79.7,,
03/10/2013,79.8,,
04/10/2013,79.8,,
05/10/2013,80,,
06/10/2013,80.1,,
07/10/2013,80,,
08/10/2013,79.9,,
09/10/2013,79.8,,
10/10/2013,79.8,,
11/10/2013,79.8,,
12/10/2013,79.7,,
13/10/2013,79.7,,
14/10/2013,79.7,,
15/10/2013,79.7,,
16/10/2013,79.7,,
17/10/2013,79.7,,
18/10/2013,79.7,,
19/10/2013,79.6,,
20/10/2013,79.5,,
21/10/2013,79.4,,
22/10/2013,79.2,,
23/10/2013,79.1,,
24/10/2013,78.9,,
25/10/2013,78.8,,
26/10/2013,78.9,,
27/10/2013,78.9,,
28/10/2013,78.9,,
29/10/2013,79,,
30/10/2013,79.1,,
31/10/2013,79.3,,
01/11/2013,79.3,,
02/11/2013,79.2,,
03/11/2013,79.1,,
04/11/2013,79.1,,
05/11/2013,79,,
06/11/2013,78.9,,
07/11/2013,78.7,,
08/11/2013,78.7,,
09/11/2013,78.7,,
10/11/2013,78.6,,
11/11/2013,78.6,,
12/11/2013,78.6,,
13/11/2013,78.6,,
14/11/2013,78.7,,
15/11/2013,78.6,,
16/11/2013,78.5,,
17/11/2013,78.5,,
18/11/2013,78.4,,
19/11/2013,78.5,,
20/11/2013,78.5,,
21/11/2013,78.5,,
22/11/2013,78.6,,
23/11/2013,78.6,,
24/11/2013,78.7,,
25/11/2013,78.7,,
26/11/2013,78.7,,
27/11/2013,78.7,,
28/11/2013,78.6,,
29/11/2013,78.8,,
30/11/2013,78.8,,
01/12/2013,78.9,,
02/12/2013,79,,
03/12/2013,79.1,,
04/12/2013,79.1,,
05/12/2013,79.2,,
06/12/2013,79.3,,
07/12/2013,79.4,,
08/12/2013,79.6,,
09/12/2013,79.6,,
10/12/2013,79.5,,
11/12/2013,79.5,,
12/12/2013,79.5,,
13/12/2013,79.5,,
14/12/2013,79.4,,
15/12/2013,79.3,,
16/12/2013,79.4,,
17/12/2013,79.4,,
18/12/2013,79.5,,
19/12/2013,79.5,,
20/12/2013,79.5,,
21/12/2013,79.4,,
22/12/2013,79.4,,
23/12/2013,79.5,,
24/12/2013,79.4,,
25/12/2013,79.4,,
26/12/2013,79.4,,
27/12/2013,79.4,,
28/12/2013,79.6,,
29/12/2013,79.7,,
30/12/2013,79.9,,
31/12/2013,80,,
01/01/2014,80.2,,
02/01/2014,80.4,,
03/01/2014,80.6,,
04/01/2014,80.6,,
05/01/2014,80.5,,
06/01/2014,80.6,,
07/01/2014,80.6,,
08/01/2014,80.7,,
09/01/2014,80.7,,
10/01/2014,80.7,,
11/01/2014,80.8,,
12/01/2014,80.8,,
13/01/2014,80.8,,
14/01/2014,80.8,,
15/01/2014,80.8,,
16/01/2014,80.8,,
17/01/2014,80.8,,
18/01/2014,80.8,,
19/01/2014,80.8,,
20/01/2014,80.8,,
21/01/2014,80.8,,
22/01/2014,80.8,,
23/01/2014,80.9,,
24/01/2014,80.9,,
