file,activity_name,shoe
2026-03-01_09-31-41.FIT,Kensington and Chelsea Running,
2026-02-28_10-02-54.FIT,Southwark Running,
2026-02-27_13-31-09.FIT,City of Westminster Running,
2026-02-27_13-07-07.FIT,Kensington and Chelsea Running,
2026-02-26_09-23-26.FIT,Kensington and Chelsea - 5k Calibration Tuneup,
2026-02-24_08-51-31.FIT,Liverpool Running,
2026-02-23_17-44-05.FIT,Liverpool Running,
2026-02-22_09-39-08.FIT,Kensington and Chelsea Running,
2026-02-21_10-06-29.FIT,Wandsworth Running,
2026-02-21_09-42-01.FIT,"Preamble with strides ",
2026-02-20_10-04-32.FIT,Kensington and Chelsea Running,
2026-02-18_10-45-41.FIT,Stockholm - FKS F7 - 6 x ( 3’@ME  3’@HME,
2026-02-17_12-11-17.FIT,Stockholm Running,
2026-02-16_12-04-19.FIT,Stockholm - 5 x 3’ @ 5kE,
2026-02-14_08-18-24.FIT,Stockholm Running,
2026-02-13_13-08-49.FIT,Stockholm Running,
2026-02-12_11-52-56.FIT,Stockholm - 5 x 3’ @ 5kE,
2026-02-11_12-46-35.FIT,Stockholm Running,
2026-02-10_11-08-25.FIT,Stockholm - FKS F6 - 6 x ( 4’@89%  2’@94,
2026-02-09_10-37-51.FIT,Stockholm Running,
2026-02-08_10-09-37.FIT,Solna Running,
2026-02-04_13-56-27.FIT,Easy Djurgården hour,
2026-02-03_09-22-14.FIT,Stockholm - FKS F5 - 6 x ( 4’@89%  2’@94,
2026-02-02_09-20-21.FIT,Stockholm Running,
2026-03-03_11-04-54.FIT,Stockholm - FKS F8 - 6 x ( 3’@ME  3’@HME,
2026-03-04_10-25-15.FIT,Stockholm Running,
2026-03-05_14-09-20.FIT,Stockholm Running,
2025-08-25_15-26-08.FIT,"Stockholm Running",
2025-04-22_11-55-06.FIT,"Stockholm Running",
2025-04-22_10-49-52.FIT,"Treadmill Running",
2025-04-14_13-08-32.FIT,"Stockholm Running",
2025-04-07_15-28-56.FIT,"Stockholm Running",
2025-03-10_14-26-28.FIT,"Stockholm Running",
2025-03-10_13-14-25.FIT,"Treadmill Running",
2025-02-10_14-24-02.FIT,"Stockholm Running",
2025-02-10_13-12-55.FIT,"Treadmill Running",
2025-01-16_12-29-30.FIT,"Stockholm Running",
2025-01-16_12-15-40.FIT,"Treadmill Running",
2025-01-14_10-57-07.FIT,"Stockholm Running",
2023-10-27_16-22-17.FIT,"Santa Rosa Running",
2023-10-23_16-14-36.FIT,"Quito Running",
2023-05-10_12-00-00.FIT,"Missing from before V3",
2023-01-28_18-59-45.FIT,"Running",
2022-11-19_09-32-26.FIT,"Running",
2020-04-22_10-22-28.FIT,"Värmdö Running",
2019-05-30_17-15-52.FIT,"East Hampton Running",
2019-05-29_07-52-05.FIT,"East Hampton Running",
2019-05-27_08-49-45.FIT,"New York Running",
2019-05-25_07-09-44.FIT,"New York Running",
2019-05-23_06-58-43.FIT,"Yonkers Running",
2019-05-22_09-06-07.FIT,"Yonkers Running",
2016-10-01_09-01-51.FIT,"Park run in PB!",
2016-09-18_12-47-40.FIT,"London Duathlon",
2016-08-23_14-53-36.FIT,"Bike - Run transition ( 14k/5k )",
2016-07-27_13-02-02.FIT,"Transition training 19k ride 5k run - Cycling",
2016-05-04_11-11-33.FIT,"6 x 1km LT with 500m jogs",
2015-12-10_11-58-15.FIT,"8 x 200m  2 x 1000m intervals",
2015-11-06_11-34-56.FIT,"HIIT Broadway Market to Old Street - 8x200m/200m",
2015-09-20_11-57-28.FIT,"London Duathlon",
2015-05-30_15-47-36.FIT,"New York City Running",
2015-05-28_10-15-15.FIT,"Lower Manhattan loop",
2015-05-26_07-45-10.FIT,"Central Park anti-clockwise",
2015-05-25_07-32-39.FIT,"5k in Central Park!",
2015-05-24_06-48-39.FIT,"Central Park loop",
2014-09-23_15-49-00.FIT,"Gym",
2014-08-27_15-04-46.FIT,"Recovery run",
2014-08-11_08-33-26.FIT,"Intervals at Varmdo IF",
2014-08-08_19-28-30.FIT,"Evening 12k",
2014-08-06_08-31-27.FIT,"Intervals on Varmdo IF track",
2014-08-04_08-53-33.FIT,"Norrnas and Angsvik 12k",
2014-07-31_09-16-58.FIT,"Sunnersta 11k",
2014-07-28_10-05-39.FIT,"Morning cycle in Sormland",
2014-07-26_10-16-13.FIT,"Morning forest run",
2014-07-23_19-06-24.FIT,"Cycle to Stromma for dinner",
2014-07-23_11-14-49.FIT,"Intervals at Hemmesta IP",
2014-07-21_16-52-57.FIT,"Sodernas 5k in the heat",
2014-07-19_08-17-31.FIT,"Morning run in Kungshamn with Barrie and Matt",
2014-07-16_10-40-54.FIT,"Slow recovery run in the sun",
2014-07-13_09-37-22.FIT,"British 10k",
2014-07-10_20-14-14.FIT,"Nice evening run mainly easy 9k",
2014-07-08_15-53-48.FIT,"10k with 4 x race pace 1km intervals",
2014-07-06_19-17-29.FIT,"Hills then fast later 18k",
2014-07-04_11-35-31.FIT,"Lunch Run",
2014-07-04_08-51-19.FIT,"Morning 10k in the sun Hackney Downs",
2014-07-02_19-53-08.FIT,"2 x round the fields in the Vibrams",
2014-07-01_13-11-52.FIT,"Low run back from Parliament Hill track",
2014-07-01_12-35-57.FIT,"6 x 400m on track with 200m walks in between",
2014-07-01_12-22-52.FIT,"400m correct calibration",
2014-07-01_12-20-23.FIT,"2nd 400m calibration",
2014-07-01_12-17-14.FIT,"400m on the track to calibrate footpod",
2014-07-01_11-37-39.FIT,"Run to Parliament Hill track",
2014-06-29_15-43-39.FIT,"Fast 15k threshold run",
2014-06-27_08-11-24.FIT,"Morning 8k",
2014-06-25_12-09-14.FIT,"Lunchtime City 10k",
2014-06-24_13-48-00.FIT,"Foot Pod 200m calibration with GPS",
2014-06-24_13-45-14.FIT,"Foot Pod 200m calibration ( no GPS )",
2014-06-24_13-39-13.FIT,"Foot Pod 1k calibration with GPS",
2014-06-24_13-33-14.FIT,"Foot Pod 1k calibration ( no GPS )",
2014-06-21_09-00-45.FIT,"Highbury Fields Parkrun",
2014-06-19_11-28-55.FIT,"Hackney Downs  Clissold 9k",
2014-06-15_11-30-21.FIT,"Fast Limehouse loop run",
2014-06-11_14-10-14.FIT,"Recovery jog home from St James' church",
2014-06-11_13-16-28.FIT,"Canal fartlek intervals with Simon",
2014-06-11_12-43-13.FIT,"Jog down to Old St",
2014-06-10_13-12-52.FIT,"5k with Simon",
2014-06-08_17-34-18.FIT,"10k Victoria Park and back",
2014-05-13_08-53-14.FIT,"Morning 10 miler from school run",
2014-04-15_16-19-25.FIT,"Cycle to Norra Lagno",
2013-10-05_12-05-05.FIT,"Lunch Run",
2013-09-08_13-23-15.FIT,"Lunch Run",
2013-09-08_11-18-53.FIT,"Lunch Run",
2013-09-01_14-47-29.FIT,"Afternoon Run",
2013-08-04_10-25-25.FIT,"Hallefors run",
2013-07-17_16-37-07.FIT,"Afternoon Run",
2013-07-07_12-48-24.FIT,"N5 slow",
2013-06-30_09-10-55.FIT,"Morning Run",
2013-06-29_10-44-16.FIT,"Morning Run",
2013-06-22_10-53-49.FIT,"Morning Run",
2013-06-20_10-00-31.FIT,"Morning Run",
2013-06-17_13-20-47.FIT,"Lunch Run",
2013-06-11_08-35-19.FIT,"Morning Run",
2013-06-07_17-26-05.FIT,"Afternoon Run",
2013-06-04_09-19-55.FIT,"Morning Run",
2013-06-01_11-08-05.FIT,"Lunch Run",
2013-05-26_11-48-35.FIT,"Lunch Run",
2013-05-21_08-17-09.FIT,"Morning Run",
2013-05-21_08-14-59.FIT,"Morning Run",
2013-05-21_08-12-40.FIT,"Morning Run",
2013-05-19_12-45-25.FIT,"Lunch Run",
2013-05-16_19-43-45.FIT,"Evening Run",
2013-05-09_09-09-49.FIT,"Morning Run",
2013-05-05_10-37-59.FIT,"Morning Run",
2013-04-30_12-27-52.FIT,"Lunch Run",
