date,weight_kg
2023-04-28,69.88
2023-04-29,69.72
2023-04-30,69.54
2023-05-01,69.49
2023-05-02,69.33
2023-05-03,69.11
2023-05-04,69.06
2023-05-05,69.04
2023-05-06,69.04
2023-05-07,69.11
2023-05-08,69.04
2023-05-09,68.97
2023-05-10,68.97
2023-05-11,68.95
2023-05-12,68.89
2023-05-13,68.85
2023-05-14,68.76
2023-05-15,68.77
2023-05-16,68.85
2023-05-17,68.92
2023-05-18,68.84
2023-05-19,68.89
2023-05-20,68.93
2023-05-21,68.97
2023-05-22,69.05
2023-05-23,69.05
2023-05-24,69.04
2023-05-25,69.19
2023-05-26,69.15
2023-05-27,69.13
2023-05-28,69.15
2023-05-29,69.08
2023-05-30,68.93
2023-05-31,68.85
2023-06-01,68.79
2023-06-02,68.87
2023-06-03,69.03
2023-06-04,69.07
2023-06-05,69.08
2023-06-06,69.19
2023-06-07,69.33
2023-06-08,69.31
2023-06-09,69.25
2023-06-10,69.14
2023-06-11,69.11
2023-06-12,69.11
2023-06-13,69.11
2023-06-14,69.05
2023-06-15,69.07
2023-06-16,69.2
2023-06-17,69.22
2023-06-18,69.26
2023-06-19,69.36
2023-06-20,69.44
2023-06-21,69.54
2023-06-22,69.61
2023-06-23,69.59
2023-06-24,69.54
2023-06-25,69.58
2023-06-26,69.6
2023-06-27,69.76
2023-06-28,69.8
2023-06-29,69.8
2023-06-30,69.63
2023-07-01,69.52
2023-07-02,69.43
2023-07-03,69.44
2023-07-04,69.34
2023-07-05,69.47
2023-07-06,69.62
2023-07-07,69.85
2023-07-08,70.1
2023-07-09,70.22
2023-07-10,69.81
2023-07-11,69.92
2023-07-12,69.91
2023-07-13,69.94
2023-07-14,69.98
2023-07-15,70.04
2023-07-16,69.99
2023-07-17,70.32
2023-07-18,70.25
2023-07-19,70.17
2023-07-20,70.15
2023-07-21,70.19
2023-07-22,70.21
2023-07-23,70.41
2023-07-24,70.61
2023-07-25,70.69
2023-07-26,70.75
2023-07-27,70.75
2023-07-28,70.75
2023-07-29,70.75
2023-07-30,70.75
2023-07-31,70.63
2023-08-01,70.59
2023-08-02,70.56
2023-08-03,70.54
2023-08-04,70.56
2023-08-05,70.58
2023-08-06,70.53
2023-08-07,70.61
2023-08-08,70.62
2023-08-09,70.68
2023-08-10,70.63
2023-08-11,70.53
2023-08-12,70.48
2023-08-13,70.47
2023-08-14,70.42
2023-08-15,70.36
2023-08-16,70.26
2023-08-17,70.26
2023-08-18,70.37
2023-08-19,70.29
2023-08-20,70.26
2023-08-21,70.24
2023-08-22,70.22
2023-08-23,70.2
2023-08-24,70.18
2023-08-25,70.05
2023-08-26,70.24
2023-08-27,70.32
2023-08-28,70.37
2023-08-29,70.48
2023-08-30,70.65
2023-08-31,70.78
2023-09-01,70.81
2023-09-02,70.69
2023-09-03,70.67
2023-09-04,70.66
2023-09-05,70.65
2023-09-06,70.56
2023-09-07,70.48
2023-09-08,70.54
2023-09-09,70.53
2023-09-10,70.51
2023-09-11,70.46
2023-09-12,70.4
2023-09-13,70.29
2023-09-14,70.32
2023-09-15,70.21
2023-09-16,70.15
2023-09-17,70.09
2023-09-18,70.02
2023-09-19,69.99
2023-09-20,70.01
2023-09-21,70.0
2023-09-22,70.07
2023-09-23,69.99
2023-09-24,69.93
2023-09-25,70.08
2023-09-26,70.09
2023-09-27,70.08
2023-09-28,69.97
2023-09-29,69.86
2023-09-30,69.89
2023-10-01,69.86
2023-10-02,69.74
2023-10-03,69.73
2023-10-04,69.74
2023-10-05,69.77
2023-10-06,69.78
2023-10-07,69.8
2023-10-08,69.86
2023-10-09,69.86
2023-10-10,69.97
2023-10-11,70.04
2023-10-12,69.94
2023-10-13,69.94
2023-10-14,69.93
2023-10-15,69.79
2023-10-16,69.88
2023-10-17,69.79
2023-10-18,69.78
2023-10-19,69.98
2023-10-20,70.01
