file,activity_name,shoe
2026-02-02_09-20-21.FIT,Easy 35' in snow,Saucony Endorphin Rift Trail Green
2026-02-03_09-22-14.FIT,"FKS F5: WU, 6x ( 4#@ME,2'@HME ), CD",Saucony Endorphin Pro 3 Black
2026-02-04_13-56-27.FIT,"Easy Djurgården hour",
2026-02-03_09-22-14.FIT,"Stockholm - FKS F5 - 6 x ( 4’@89%  2’@94",
2026-02-02_09-20-21.FIT,"Stockholm Running",
2026-01-29_11-46-38.FIT,"Stockholm - FKS D4- 4 x ( 6’@95%  2’ jog",
2026-01-28_11-11-26.FIT,"Stockholm Running",
2026-01-27_11-07-20.FIT,"Stockholm - FKS F4 - 6 x ( 5’@89%  1’@94",
2026-01-26_11-06-03.FIT,"Stockholm Running",
2026-01-25_09-54-42.FIT,"Morning Run",
2026-01-24_18-41-46.FIT,"Evening Run",
2026-01-24_18-11-40.FIT,"Evening Run",
2026-01-23_11-12-10.FIT,"Lunch Run",
2026-01-21_09-40-10.FIT,"Morning Run",
2026-01-20_19-02-47.FIT,"Evening Run",
2026-01-20_18-11-56.FIT,"Evening Run",
2026-01-18_11-21-09.FIT,"Lunch Run",
2026-01-17_10-07-16.FIT,"Morning Run",
2026-01-17_09-39-50.FIT,"Morning Run",
2026-01-16_10-32-16.FIT,"Morning Run",
2026-01-14_10-53-22.FIT,"Morning Run",
2026-01-13_18-58-54.FIT,"Evening Run",
2026-01-12_10-20-21.FIT,"Morning Run",
2026-01-11_13-24-41.FIT,"Lunch Run",
2026-01-10_09-33-05.FIT,"Morning Run",
2026-01-10_08-36-43.FIT,"Morning Run",
2026-01-08_11-31-09.FIT,"Lunch Run",
2026-01-07_10-02-51.FIT,"Morning Run",
2026-01-06_19-06-33.FIT,"Evening Run",
2026-01-06_18-11-54.FIT,"Evening Run",
2026-01-05_09-12-02.FIT,"Morning Run",
